misdeed	 n.  罪行， 犯罪
rookie	 n.  新手
ravage	 v.  毁坏， 掠夺
barren	 adj.   贫瘠的， 荒芜的； 不结果实的， 不  育的； 无益的， 没有结果的
garrulous	 adj.  饶舌的， 多嘴的
accompanist	 n.  伴奏者
fungi	 n.  真菌
grandiose	 adj.  宏伟的； 冠冕堂皇的， 浮夸的
permanent	 adj.  永久的， 持久的
foster	 adj.  收养的， 收养孩子的 vt. 收养，养育；领养；培养，促进
tricycle	 n.  三轮车
facility	 n. 设施；设备；容易；灵巧
gregarious	 adj.  社交的； 群居的
hydrolysis	 n.  水解作用
beam	 n.  光束
peevish	 adj.  易怒的， 暴躁的
gallant	 adj.  英勇的， 豪侠的
inalterable	 adj.  不能变更的， 不变的
visage	 n.  面貌， 容貌
solidification	 n.  凝固
perspire	 v.  出汗， 流汗
emulate	 n.  仿效； 超越
assonant	 adj.  谐韵的
synthesize	 v.  综合； 合成
irascible	 adj.  易怒的， 暴躁的
sanguineous	 adj.  血的
peremptory	 adj.  断然的； 专横的； 强制的
circumlocution	 n.  婉转曲折的陈述
vindictive	 adj.  报复性的
playwright	 n.  剧作家
interrupt	 v.  中断， 阻碍； 打断 ， 打扰
emphasis	 n.  强调， 重点
beau	 n.  好打扮者； 花花公子； 男朋友
feasible	 adj.  可行的， 切实可行的
unassuming	 adj.  谦逊的； 不装腔作势的
forebode	 v.  预示， 预言， 预兆
prepossess	 vt.  使先有好感， 使偏爱； 预先拥有
potential	 adj. 潜在的，可能的；势的，位的 n.  潜能， 潜力
volant	 adj.  会飞的； 迅速的， 敏捷的
actuary	 n.  保险进算师， 保险  计算员
gross	 adj.  总的， 毛的
vigilant	 adj.  警惕着的， 警醒的
tact	 n.  机智， 老练
bereave	 vt.  剥夺， 使失去
epicure	 n.  美食家
allotment	 n.  分配
archive	 n. 档案馆 vt.  存档
valorous	 adj.  勇敢的， 无畏的
stimulate	 v.  刺激， 使兴奋； 激励， 鼓舞
eclipse	 n.  日食， 月食
square	 n.  正方形
counteract	 v.  抵消， 中和； 阻碍
animosity	 n.  仇恨， 憎恶
debilitate	 v.  使衰弱， 使虚弱
interference	 n.  干涉
commute	 v.  交换； 减刑； 通勤
altitude	 n.  高度， 海拔
riddance	 n.  摆脱； 解除
classify	 v.  分类， 分等
nadir	 n.  天底； 最低点； 深渊
composure	 n.  镇静， 沉着
beck	 n.  点头示意； 招手示意
convergence	 n.  集中
stipend	 n.  薪金， 定期生活津贴
allusion	 n.  典故， 引用典故； 暗示
sacrosanct	 adj.  不可侵犯的； 极神圣的
point	 n.  小数点
beguile	 vt.  诱骗； 诱惑
debut	 n.  初次登台
forerun	 v.  预示； 跑在…之前
prehension	 n.  抓住； 理解
evanescent	 adj.  易消散的； 会凋零的
stripling	 n.  年轻人
uphold	 v.  支持， 赞成； 举起； 坚持
alias	 n.  别名， 化名
dimension	 n.  尺寸， 尺度； 维  ； 度  ， 元
nostalgia	 n.  思家病， 乡愁； 向往过去, 怀旧之情
obtrusive	 adj.  突出的； 强迫的； 引人注意的
alternative	 adj.  选择性的， 两者择一的 n. 两者择一，可供选择的办法
workmanship	 n.  手艺， 技艺， 技巧
encounter	 v. 遇到，遭遇〔尤指问题或反对〕 n. 相遇，邂逅
soda	 n.  苏打
empathetic	 adj.  移情作用的， 感情移入的
lassitude	 n.  疲乏； 没精打采
agrarian	 adj.  有关土地的， 耕地的
extrovert	 n.  性格外向者
mean	 v. 表示…的意思；意指；意味着；意欲，打算；注定；怀有特定用意；具有意义 adj. 低劣的，卑鄙的；平庸的；没有价值的；难看的，破旧的；吝啬的；中等的；平均的；中项的 n.  平均 ， 中数
pedestrian	 adj.  徒步的； 呆板的； 平庸的 n. 步行者
appall	 vt.  使惊骇， 使大吃一惊， 使恐怖
radioactive	 adj.  放射性的， 放射引起的
repulse	 v.  拒绝， 排斥； 憎恶
hoarse	 adj.  嘶哑的
rectitude	 n.  正直； 公正
tenable	 adj.   守得住的， 可防守的；  站得住脚的；  有条理的
stimulant	 n.  刺激物
vivacity	 n.  活泼
appreciate	 vt.  感谢， 感激； 正确评价， 欣赏， 赏识
undersize	 adj.  较一般为小的， 不够大的
qualitative	 adj.  性质上的， 定性的
diverse	 adj.  多种多样的， 不同的， 变化多的
murderous	 adj.  行凶的， 凶恶的； 非常危险的
fictitious	 adj.  小说中的， 假想的； 假装的； 虚伪的
intellect	 n.  智力
preoccupy	 v.  使全神贯注， 迷住
preference	 n.  偏爱， 喜爱； 优惠； 优先选择
mainstream	 n.  主流
enthusiast	 n.  热情者， 热衷者
apotheosis	 n.  尊为神， 神话； 典范
temperate grassland	 温带草原，温带草地
alchemy	 n.  炼金术
distort	 v.  弄歪  ； 扭曲， 歪曲
litigious	 adj.  好诉讼的； 好争论的
population	 n.  种群
discern	 v.  认出， 发现； 辨别， 识别； 看清楚
cancellation	 n.  约掉； 消掉
flexible	 adj.  柔韧的， 易弯曲的， 灵活的
diurnal	 adj.  日间的
transience	 n.  短暂
overstride	 v.  跨过， 超过， 越过
timorous	 adj.  胆小的
agile	 adj.  敏捷的， 轻快的； 灵活的
corpse	 n.  尸体
phonic	 adj.  声音的； 有声的
intoxicate	 v.  使陶醉； 使中毒
replenish	 v.  补充
amenable	 adj.  顺从的， 服从劝导的
mirror	 n.  镜
edify	 v.  启发； 教化
perennial	 adj.  四季不断的， 终年的
sustainable	 adj.  可维持的
inflammatory	 adj.  煽动性的
liquor	 n.  酒， 烈性酒
catabolism	 n.  分解代谢
characteristic	 adj.  特有的， 表示特性的； 典型的
secede	 v.  脱离， 分离
rouse	 v.  惊起； 唤起， 唤醒
boorish	 adj.  粗野的， 粗鄙的
reprehend	 v.  责备
disparity	 n.  不同， 不等； 不一致
affix	 vt.  使附于， 黏贴
saccharine	 adj.  糖  的， 似糖的； 产糖的， 含糖的
replicate	 v.  复制
desultory	 adj.  散漫的， 不连贯的
parsimonious	 adj.  吝啬的； 过于俭省的
assemble	 vt.  集合， 集会； 装配， 组装
noticeable	 adj.  显而易见的， 值得注意的
transition	 n.  转变， 过渡
atonement	 n.  赎罪， 弥补过失
chivalry	 n.   骑士精神； 骑士制度
repel	 v.  击退； 抵制， 拒绝， 排斥
underscore	 v.  画线于…下； 强调
series	 n.  系列
timidity	 n.  胆小， 羞怯， 怯懦
imaginative	 adj.  富有想象力的， 想象的； 幻想的， 虚构的
serum	 n.  血清
blase	 adj.  不感兴趣的； 厌倦的
celebrity	 n.  名声
archaeologist	 n.  考古学家
accountant	 n.  会计人员， 会计师
malignancy	 n.  恶意
apathetic	 adj.  缺乏兴趣的， 缺乏感情的； 无动于衷的
inborn	 adj.  天生的， 生来的， 先天的
inconvenient	 adj.  不便的， 有困难的
presentiment	 n.  预感， 不祥之感
absurd	 adj.  荒唐的
blockade	 v.  封锁 n. 阻塞
purgatory	 n.  炼狱， 暂时的苦难
trait	 n.  特征， 特点， 特性
solute	 n.  溶质
serviceable	 adj.  耐用的
landmark	 n.   明显的陆标， 地标； 划时代的事件； 界碑
hundredth	 n.  第一百个； 百分之一
impregnable	 adj.  无法攻取的， 坚不可摧的
venerate	 v.  崇敬
vacuous	 adj.  空虚的； 茫然若失的， 无所事事的
afterthought	 n.  事后的想法， 追悔
trough	 n.  波谷
blandishment	 n.  奉承， 哄诱
abed	 adv.  在床上
contradictory	 adj.  反对的， 矛盾的
preeminence	 n.  卓越， 杰出
succulent	 adj.  多汁的， 多水分的
accompany	 v.  陪同， 伴随； 为…伴奏
obviate	 v.  消除； 排除； 预防
probity	 n.  正直； 诚实
perspicuous	 adj.   明白易懂的， 清楚的
immediate	 adj.  直接的； 立即的， 即刻的
excerpt	 n.  摘录， 选录， 节录
abet	 vt.  教唆， 煽动； 帮助， 支持
minnow	 n.  鲤类小鱼
platitude	 n.  陈词滥调； 陈腐
subtlety	 n.  微妙， 敏锐， 细微的区别
upbraid	 v.  责备， 叱责
landlord	 n.  房东， 地主
factious	 adj.  闹派别的； 好捣乱的
ingratiate	 v.  使迎合， 使讨好
introductory	 adj.  引导的， 介绍的
buffoon	 n.  小丑
caitiff	 adj.  卑劣的； 胆小的
apiece	 adv.  每人， 每个
lurid	 adj.  苍白的， 可怕的； 血红的； 耸人听闻的
preempt	 v.  预先制止； 抢在…之前做或说
hone	 v.   磨， 把…放在磨石上磨 n. 细磨刀石
cursory	 adj.  仓促的， 草率的
insouciance	 n.  漫不经心， 不在乎
primp	 v.  细心打扮， 过分装饰
corroborate	 v.  使坚固； 确证
bland	 adj.  温和的， 柔和的； 乏味的； 冷漠的
atone	 vi.  弥补
disparage	 v.  蔑视， 贬损； 使失去信誉
yummy	 adj.  美味的； 赏心悦目的
bursar	 n.   会计
outlast	 v.  比…长久， 比…活得长
utopian	 adj.  乌托邦的， 理想化的
tangible	 adj.  确实的， 触摸得到的， 具体的
impend	 v.  即将发生
pious	 adj.  虔诚的
congest	 v.  使充满， 使拥塞
mordent	 n.  【音】 波音
witticism	 n.  妙语； 俏皮话
approximately	 adv.  近似地， 大约地
diplomat	 n.  外交官
monocracy	 n.  独裁政治
incubus	 n.  梦魇； 沉重的负担
hut	 n.  小屋， 棚屋
artifice	 n.  巧办法； 欺骗
collaborate	 v.  协作， 合作
superficial	 adj.  表面的； 肤浅的， 浅薄的
opprobrium	 n.  耻辱； 责骂
mirage	 n.  海市蜃楼； 幻想
impasse	 n.  僵局
subterranean	 adj.  地下的
lacerate	 v.  割裂
demolition	 n.  毁坏
displacement	 n.  位移
oration	 n.  演说
casualty	 n.  伤亡事故； 人员伤亡
whimsical	 adj.  异想天开的； 反复无常的
prism	 n.  棱镜
penury	 n.  贫困， 贫穷
cartographer	 n.  地图制作者
valedictory	 adj. 告别的 n.  告别词
idolatry	 n.  偶像崇拜； 盲目崇拜
studious	 adj.  好学的； 刻苦的， 勤奋的
ridicule	 v.  嘲笑， 奚落
propulsion	 n.  推进力
butte	 n.   孤山， 孤峰
sensitive	 adj.  敏感的； 灵敏的
scintillate	 v.  发出火花
singe	 v.  烧焦， 烤焦
irate	 adj.  生气的， 发怒的
impression	 n.  印象， 感想； 盖印， 压痕
inequity	 n.  不公平， 不公正
appease	 vt.  平息； 安抚， 缓和； 满足
impede	 v.  妨碍， 阻碍， 阻止
volitive	 adj.  意志的， 表示祈望或准许的
pepsin	 n.  胃蛋白酶
shield	 v.  保护， 防护， 遮蔽 n.  防护物， 护罩， 盾， 盾状物
statuesque	 adj.  雕像般的； 庄严而优雅的
anatomy	 n.  解剖学； 解剖结构
gratuity	 n.  赠物， 赏钱
credo	 n.  信条
instantaneous	 adj.  瞬间的， 即刻的
phenomenon	 n. 现象
writhe	 v.  扭曲， 扭歪； 翻腾
quarterly	 adv. 每季一次 adj. 每季的 n.  季刊
zephyr	 n.  西风； 微风
alienable	 adj.  可让与的
abbey	 n.  大修道院； 大教堂
sensibility	 n.  敏感性
bibliography	 n.   书目； 参考书目
buoyant	 adj.  有浮力的； 轻快的
chloroplast	 n.  叶绿体
intrepid	 adj.  无畏的； 勇猛的
travail	 n.  辛苦； 苦役； 工作
dullard	 n.  傻瓜
generalize	 v.  推广
accredit	 v.  信任
condenser	 n.  冷凝器
paradoxical	 adj.  似非而是的； 自相矛盾的
dissever	 v.  割裂； 分开
postdate	 v.  推迟…的日期
subdue	 v.  征服； 抑制
positive	 adj. 确实的，明确的；积极的，肯定的；正的，阳性的；十足的，完全的 n.   正片
trigger	 vt. 引发，导致 n.  扳机
culmination	 n.  顶点
meticulous	 adj.  小心翼翼的
recriminate	 v.  反责， 反唇相讥
jubilation	 n.  庆祝
radar	 n.  雷达
withhold	 v.  拒绝， 不给
presumptuous	 adj.  自以为是的； 专横的
twinge	 n.  阵痛， 刺痛， 剧痛
refugee	 n.  难民， 流亡者
kinetic	 adj.   动学， 动力  的
rotate	 v.   旋转
bowler	 n.  玩保龄球的人；  投手
instance	 n.  例子， 事例， 例证
spartan	 n.  斯巴达人； 强悍勇敢、 结实强壮的人
inconsequential	 adj.  不合逻辑的； 不合理的
inheritance	 n.  遗传
convoluted	 adj.  旋绕的； 费解的
laconic	 adj.  简洁的， 简明的
embitter	 v.  使有苦味； 使受苦， 使难受； 使怨恨
reptile	 n.  爬行动物
integer	 n.  整数
tantalize	 v.  挑逗， 惹弄
receptive	 adj.  善于接受的， 能接纳的
heterogeneous	 adj.  不同种类的
astound	 vt.  使惊骇， 使大吃一惊
solution	 n.  溶解
extrude	 v.  突出， 伸出
opponent	 adj.  对立的， 对抗的 n. 对手，反对者，敌手
supplementary	 adj.  增补的， 补充的
accelerate	 v.  加速； 促进
spate	 n.  大水； 大量
emblem	 n.  象征， 徽章， 符号
sophism	 n.  诡辩； 谬论
wavelength	 n.  波长
clutter	 n.  混乱， 喧嚣
meteorology	 n.  气象学
divisible	 adj.  可整除的
canonical	 adj.  规范的； 权威的
nomad	 n.  游牧民； 流浪者
abrade	 v.  磨损， 摩擦； 折磨
convenient	 adj.  方便的； 便利的
vernal	 adj.  春天的
populous	 adj.  人口多的， 人口稠密的
curtail	 v.  缩减， 减少
exhume	 v.  掘出； 发掘
nexus	 n.  连结
transgression	 v.  侵越， 超过； 违背； 犯罪； 犯规
abundance	 n.  丰富， 充裕
quantum	 n.  量子
peerless	 adj.  无匹敌的， 无比的， 无双的， 绝世的
suasion	 n.  说服； 劝告
competitor	 n.  竞争者
magnitude	 n.  大小， 数量； 巨大， 广大； 重要性， 重要程度
agitate	 v.  鼓动， 搅动； 搅拌； 使激动， 使不安
insulator	 n.  绝缘体
nebulous	 adj.  星云的， 云雾状的； 模糊的， 朦胧的
prescript	 adj.  作为条例指定的， 指定的
immune	 adj.  免疫的， 有免疫力的； 不受影响的； 免除的， 豁免的
equation	 n.  等式， 方程式
stern	 adj. 严厉的，苛刻的；严峻的，难对付的 n.  船尾， 舟尾
rotary	 adj.  旋转的
brandish	 v.  挥舞； 炫耀
compound	 n.  化合物
volition	 n.  意志
discredit	 v.  不信； 使成为不可信； 败坏…的声誉 n. 丧失信用；怀疑，不信任
badger	 v.  烦扰； 吵着要 n. 獾；獾皮毛
underlie	 v.  成为…的基础
extraordinary	 adj.  非常的， 格外的
yearling	 n.  一岁家禽
gnash	 v.  咬牙切齿
flagella	 n.  鞭毛
attraction	 n.  引力
conventional	 adj.  惯例的， 常规的； 习俗的， 传统的
complicate	 v.   变复杂
hypocrisy	 n.  伪善； 虚伪
relent	 v.  变温和； 减弱， 缓和
simplify	 v.  单一化， 简单化
hypocrite	 n.  伪君子
sedulous	 adj.  勤勉的
credible	 adj.  可信的
intentional	 adj.  有意图的， 故意的
insensate	 adj.  没有感觉的
blockbuster	 n.  风靡一时之物；  巨型炸弹
solder	 v.  焊接 n. 焊料
bungle	 vt.  办糟
negligible	 adj.  可以忽略的， 微不足道的
misstep	 n.  失足
temporal	 adj.  时间的
pentagon	 n.  五边形
proton	 n.  质子
setback	 n.  挫折， 阻碍
brokerage	 n.  经纪人之业务； 回扣
pointer	 n.  指针
hydroxide	 n.  氢氧化物
primordial	 adj.  原始的， 初发的
habitude	 n.  习俗
vitamin	 n.  维生素
dissimilar	 adj.  不同的
elongate	 v.  拉长
enthusiastic	 adj.  热情的， 热心的
fray	 v.  磨损
wield	 v.  支配， 掌权
disastrous	 adj.  灾难性的， 悲惨的
impulse	 n.  冲量
remonstrance	 n.  抗议
chastity	 n.  纯洁； 贞节； 简洁
prominent	 adj.  突起的， 凸起的； 杰出的， 著名的； 显著的
insulin	 n.  胰岛素
ironic	 adj.  讽刺的， 反讽的
permeable	 adj.  有浸透性的， 能透过的
pedagogue	 n.  教师； 喜欢卖弄学问的教师
pusillanimous	 adj.  懦弱的， 胆小的， 优柔寡断的
fundamental	 adj. 基础的，基本的 n.  基本原则， 基本原理
global	 adj.  全球的， 世界的； 球状的， 球面的； 总括的， 普遍的， 综合的， 全局的
promulgate	 v.  发布； 传播
counselor	 n.  顾问； 律师
excess	 adj. 过量的，额外的 n.  过量， 过剩
temperature	 n.  温度
perspective	 n.  透视画法， 透视图； 远景， 前途； 观点， 看法
retaliate	 v.  报复
tactician	 n.  有谋略的人
equality	 n.  等式
admonition	 n.  警告
reaction	 n.  反应， 反作用
transverse	 adj.  横向的； 横断的
jubilant	 adj.  欢呼的
valor	 n.  英勇， 勇猛
adhesion	 n.  黏着； 因守； 皈依
monotone	 n.  单调
repine	 v.  抱怨
vainglorious	 adj.  虚荣的
evolve	 v.   发展，  进化， 演化； 引申出， 推理， 引出
face	 n.  立体的面
circumnavigate	 v.  环航
narcissistic	 adj.  自恋的， 自我陶醉的
abandon	 vt.  放弃； 放纵
cessation	 n.  停止
sacrilege	 n.  亵渎圣物
extol	 v.  赞美
intolerable	 adj.  无法忍受的； 难受的
operation	 n.  运算
adverse	 adj.  不利的， 有害的
preemption	 n.  优先购买  ； 抢先占有
ratio	 n.  比； 比率
junction	 n.  连接， 接合； 交叉点， 接合处， 枢纽站
electrolysis	 n.  电解作用
circumvent	 vt.  智胜， 用计谋取胜， 挫败
habitual	 adj.  习惯的， 惯常的
conditional	 adj.  有条件的； 以…为条件的
instinct	 n.  本能， 直觉， 天性
gourmet	 n.  美食家
melancholy	 adj.  忧郁
redoubtable	 adj.  可怕的
niggardly	 adj.  吝啬的， 小气的
genesis	 n.  起源
probate	 v.  检验遗嘱 n. 遗嘱；遗嘱检验
bumptious	 adj.  盲目自大的， 傲慢的
beseech	 v.  恳求； 哀求
subliminal	 adj.  下意识的； 潜在意识的
engrave	 vt.   雕刻；  铭记， 深印于 ， 铭刻
exhaustive	 adj.   详尽的， 无遗漏的， 彻底的
awkward	 adj.  笨拙的， 不灵活的； 棘手的； 尴尬的； 使用不便的
provincial	 adj.  省的， 州的； 狭隘的
glimmer	 n.  闪光
ruin	 v. 破产；堕落，毁灭 n.  毁灭， 崩溃； 废墟， 遗迹
leaven	 v.  使发酵
maudlin	 adj.  感情脆弱的
celebrate	 v.  庆祝， 祝贺
abut	 v.  领接， 毗邻
anemia	 n.  贫血， 贫血症
ultramontane	 adj.  山那边的  ； 阿尔卑斯山以南的
incommodious	 adj.  不便的， 偏促的， 狭窄的
rankle	 v.  激怒
geometric	 n.  几何级数， 等比级数
campaign	 vi.  参加活动， 从事活动； 作战 n. 战役；活动，竞选运动
salvage	 n.  抢救财物
vital	 adj.  生死攸关的， 重要的， 重大的； 生命的， 生机的
euphonious	 adj.  悦耳的， 声音和谐的
seethe	 v.  沸腾； 激动， 骚动
delusion	 n.  错觉
ebullience	 n.  奔放的； 兴高采烈的
barrister	 n.  律师； 法律顾问
derivative	 adj. 衍生的；无创意的 n.  衍生物
amateur	 adj.  业余的 n. 业余活动者
condemn	 v.  谴责， 指责； 判刑， 宣告有罪
lexicographer	 n.  词典编纂者
fallacious	 adj.  谬误的； 虚伪的； 使人误解的
causal	 adj.  原因的， 因果关系的
mansion	 n.  大厦， 官邸
summary	 n.  摘要， 概要
nickel	 n.  五分
offshoot	 n.  分支， 支流
akin	 adj.  近似的， 有关系的， 类似的
inebriate	 v.  灌醉
antedate	 v.  提前日期； 先于， 早于 n.  比正确日期早的日期
propaganda	 n.  宣传
ascetic	 adj.  苦行的； 禁欲主义的
dramatic	 adj.  戏剧的， 剧本的； 戏剧性的； 引人注目的； 突然的
archetype	 n.  原型
chastise	 v.  严惩， 惩罚
imaginary	 adj.  假想的， 想象的， 虚构的
bestial	 adj.  野兽的； 兽性的； 残忍的
venerable	 adj.  值得尊敬的
vaporize	 v.   蒸发
transcend	 vt.  超出， 超越  的范围
chronological	 adj.  编年史， 按年代顺序的
coerce	 v.  强制； 强迫
surcharge	 v.  额外收费 n. 额外费用
equestrian	 adj.  骑马的， 骑术的； 马的
sturdy	 adj.  强健的， 结实的
reasoning	 n.  推理
fable	 n.  寓言， 神话； 谎言
quixotic	 adj.  唐吉诃德式的； 狂想的
instill	 v.  慢慢地灌输
palatable	 adj.  美味的
photosynthesis	 n.  光合作用
politic	 adj.  精明的； 有策略的
profiteer	 n.  奸商， 乘机获暴利者
opportune	 adj.   凑巧的， 恰好的；  及时的， 适宜的
scathe	 v.  损伤， 损害， 伤害
dielectric	 n.  电介质
crest	 n.  波峰
profession	 n.  职业， 自由职业； 公开表示
deplore	 v.  表示悲痛
ecstatic	 adj.  欣喜若狂的， 入迷的， 出神的
botanize	 v.  研究植物； 采集植物
compress	 v.  压缩， 浓缩
resilient	 adj.  弹回的， 有回弹力的
cherish	 v.  珍爱； 怀抱
outlive	 v.  比…长命， 比…耐久； 经受住
resistance	 n.  反抗， 抵抗； 抵抗力
fallible	 adj.  易错的， 可能犯错的
occlude	 v.  使闭塞
spectrum	 n.  谱， 光谱， 频谱； 范围； 幅度
natal	 adj.  出生的， 诞生的
prolong	 v.  拉长， 延长
inhuman	 adj.  野蛮的
nuclei	 n.  核
remnant	 n.  残余部分， 剩余部分
linguistics	 n.  语言学
compressible	 adj.  可压缩的， 可压榨的
interlocutor	 n.  对话者
irksome	 adj.  令人厌恶的； 讨厌的
seize	 v.  抓住， 逮住； 夺取
nettle	 v.  刺激； 惹怒
privilege	 v.  给予优惠， 给予特权 n. 特权，优惠，特许
shroud	 v.  遮蔽； 隐藏
discontinue	 v.  停止， 中断
uniform	 adj.  一直不变的
amplitude	 n.  振幅
bountiful	 adj.  慷慨的； 宽大的； 大量的
blaze	 vi.  燃烧， 冒火焰； 照耀， 发光 n. 火焰；光辉
meager	 adj.  缺乏的
belabor	 vt.  过分冗长地讨论； 痛打； 辱骂
scatter	 v.  分散， 散开； 撒开， 驱散
polarization	 n.  偏振
collective	 adj.  集体的 n. 集体
pheromone	 n.  外激素
wherever	 adv.  无论那里； 无论什么情况下
delineate	 v.  描绘
innocuous	 adj.  无害的； 无毒的
innate	 adj.  先天的， 天生的
siege	 n.  包围， 围困
gratify	 v.  使满意， 使高兴； 纵容
abstract	 v. 摘要，提炼 adj.  抽象的； 深奥的； 理论的 n. 摘要，概要，抽象
liquid	 n.  液体
anonymous	 adj.  匿名的； 无名的； 无特色的
vivacious	 adj.  活泼的， 快活的
fake	 adj. 假的，冒充的 n. 假货，赝品；骗子，冒充者 vt.  伪造， 捏造； 伪装
egocentric	 adj.  自我中心的， 自私自利的
nonplus	 v.  使困惑
impurity	 n.  杂质
bizarre	 adj.  古怪可笑的； 奇异的
docile	 adj.  听话的， 温顺的
abridgement	 n.  删节， 节略
ascribe	 vt.  归因于， 归咎于
minority	 n.  少数； 少数派； 少数民族
stringent	 adj.  严厉的； 迫切的
space	 n.  空间
preferable	 adj.  更可取的， 更好的
cauterize	 vt.  烧灼， 烙； 使麻木不仁
arrange	 v.  整理； 排列； 布置； 安排； 筹备
litmus	 n.  石蕊
recuperate	 v.  复原， 恢复
exponent	 n.  指数
circuitous	 adj.  迂回线路的， 不直接的
commitment	 n.  委任； 许诺
fossil	 n.  化石
jocular	 adj.  诙谐的； 打趣的
disciple	 n.  信徒， 门徒； 追随者
munificent	 adj.  宽宏的， 慷慨的
autocratic	 adj.  独裁的， 专制的
collision	 n.  碰撞
arbiter	 n.  仲裁者
calorie	 n.  卡路里  ， 大卡
predicament	 n.  困境
slogan	 n.  标语， 口号
bosom	 n.  胸部， 胸
acerbic	 adj.  酸的； 尖刻的
aforesaid	 adj.  上述的， 前述的
inefficacious	 adj.  无效力的， 无用的
unwitting	 adj.  不知情的
trite	 adj.  陈腐的
deportment	 n.  行为， 举止
ingrate	 n.  忘恩负义者
frequent	 adj.  时常发生的； 频繁的； 常见的
stymie	 v.  从中作梗， 完全妨碍
interact	 vi.  互相作用， 互相影响
outright	 a& ad.  直率  地， 痛快  地； 全部  地
error	 n.  误差
superintend	 v.  主管， 指挥， 监督
network	 n.  网状物； 广播网， 电视网； 网络
ocular	 adj.  眼睛的； 视觉的
aggregate	 v.  聚集， 集合； 合计
forsake	 v.  放弃， 抛弃
rust	 v.  生锈
pomp	 n.  壮观； 盛况； 炫耀
complicity	 n.  同谋， 共犯
nominee	 n.  被提名的人， 被任命者
discriminate	 v.  区别， 辨别； 有差别地对待， 歧视
camouflage	 n. 伪装 vt.  伪装
account for	 对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
annex	 v.  并吞， 附加 n. 附件
potentate	 n.  君主， 统治者
procure	 v.  取得， 获得
monetary	 adj.  金融的， 货币的
quantity	 n.  量， 数量
argumentation	 n.  论证
antitoxin	 n.  抗毒素
stifle	 v.  使窒息； 扼杀， 抑制
bacchanalia	 n.    酒神节； 狂饮作乐
demolish	 v.  毁坏， 破坏； 推翻， 粉碎
artificial fertilization	 n. 人工受精；[畜牧] 人工授精
round	 v.  四舍五入
ambassador	 n.  大使
transfigure	 v.  美化
sanctimonious	 adj.  假装神圣的
misinterpret	 v.  曲解
unsettle	 v.  使不安
eyepiece	 n.  接目镜
vague	 adj.  不明确的， 含糊的
juridical	 adj.  法律上的
resplendent	 adj.  灿烂的； 光辉的； 华丽的
ion	 n.  离子
ephemeral	 adj.  朝生暮死的； 短暂的， 短命的
braggart	 n.  吹牛者
impunity	 n.  不受惩罚
probation	 n.  试用； 见习； 鉴定， 检验； 缓刑
precipice	 n.  悬崖； 危急的处境
graduate	 n.  量筒， 量杯； 一量筒或量杯的量
unanimous	 adj.  全体一致的， 一致同意的
thermal	 adj.  热的， 由热造成的； 保暖的
orifice	 n.  孔， 口
sulfur	 n.  硫
rag	 v.  揶揄， 戏弄， 欺负 n. 抹布；破旧衣服
ablution	 n.  清洗
diagnostic	 adj.  诊断的
grief	 n.  悲伤， 悲痛； 悲伤的事， 悲痛的缘由
navigate	 v.  航行， 航海； 导航； 驾驶； 横渡； 〈喻〉设法穿越
culpable	 adj.  该谴责的
excellent	 adj.  卓越的， 极好的
ray	 n.  射线
moratorium	 n.  延期偿付
wizen	 adj.  枯萎或皱缩的
gainsay	 v.  否认； 反对
untimely	 adj.  不适时的， 不合时宜的
nationality	 n.  国籍， 民族
artful	 adj.  巧妙的， 狡猾的
harangue	 n.  长篇大论， 滔滔不绝的高声训斥
endure	 v.  忍受， 容忍， 持久， 持续
feign	 v.  装作， 假装； 伪造， 捏造， 杜撰
jerky	 adj.  急拉的， 急动急停的
rhetorical	 adj.  修辞学的
primer	 n.  初级读本
essence	 n.  本质， 实质
ornamental	 adj.  装饰性的
prowess	 n.  英勇； 非凡的能力
sentimental	 adj.  情感上的； 多愁善感的
bulbous	 adj.  球根的， 球根状的， 球根长成的
maneuver	 v.  调遣； 换防
indiscernible	 adj.  难识别的， 看不见的
omnipotent	 adj.  全能的
begrudge	 vt.  羡慕； 舍不得给
dual	 adj.  双的， 二重的， 双重的
vocabulary	 n.  词汇， 词汇量； 词汇表
treatise	 n.  论文； 论述
hirsute	 adj.  多毛的； 有鬃毛的
cupidity	 n.  贪心， 贪婪
efface	 v.  抹掉
vegetarian	 n.  素食主义者
aggressive	 adj.  侵略的， 好斗的； 敢作敢为的， 有进取心的； 积极的； 强有力的
resilience	 n.  弹回， 有弹力， 恢复力
ire	 n.  愤怒
pathos	 n.  痛苦， 感伤； 悲悯， 同情
irk	 v.  使厌倦； 使苦恼
mitigate	 v.  减轻
succinct	 adj.  简洁的
reconciliation	 n.  和解， 调和， 和谐一致
disdain	 n.  轻蔑
stratum	 n. 岩层；地层
overt	 adj.  公然的
invasion	 n.  侵入， 侵略
precedent	 n.  先例， 范例， 惯例
dissect	 v.  解剖； 仔细研究
pulley	 n.  滑轮
concordant	 adj.  协调的； 一致的
loquacious	 adj.  多话的
malaise	 n.  不舒服
scour	 v.  擦洗； 冲刷
persuasive	 adj.  善说服的
inculpable	 adj.  无罪的
numeration	 n.  计算， 编号
centenary	 adj.  百年的 n. 百年
rural	 adj.  农村的
demise	 n.  死亡
acclaim	 v.  欢呼， 称赞； 欢呼着同意 n. 称赞，欢迎
laxative	 adj.  通便的
