abandon	 v. 离弃；放弃
detrimental	 adj. 有害的，不利的
disposition	 n. 性情，气质；布置；配置
dispute	 v&n. 争论，争执，质疑
disregard	 vt&n. 不理，漠视
disrupt	 v. 使分裂，瓦解
dissertation	 n. (博士学位)论文，学术演讲，专题论文
dissipate	 v. 消散，消失；浪费，挥霍
dissolve	 v. 使液化，融化；使解散
distend	 v. (使)扩张；膨胀
distil	 v. 蒸馏
distinct	 adj. 不同的，清楚的，独特的
distinction	 n. 差别，区分；卓著，荣誉
distinguish	 v. 区别，识别；使显赫
distort	 v. 歪曲，弄歪，曲解
distract	 v. 分散(注意力等)
distraction	 n. 消遣，娱乐，精神涣散
distress	 n&vt. 悲痛，忧伤；贫苦；危难
distribute	 v. 分发，分配，散布
disturb	 v. 打扰，扰乱
disturbance	 n. 打扰，骚动
ditch	 n. 排水沟，沟渠 v. 附入沟中，抛弃
diverse	 adj. 多种多样的
diversion	 n. 转向；水遣；改道
divert	 v. 转向
edible	 adj. 可以食用的
edit	 v. 编辑，剪辑
edition	 n. 版本，版次
editorial	 n. 社论 adj. 编辑的，编者的
efficient	 adj. 能胜任的，效率高的
ego	 n. 自我，自己，个人思考和感觉能力
eject	 v. 驱逐，排出
elaborate	 adj. 复杂的；详尽的 v. 做详细说明
elapse	 v. (时间)流逝
eke	 v. 增加；放长
elastic	 adj. 弹性的，有伸缩性的 n. 橡皮圈
elated	 adj. 欢欣鼓舞的
elbow	 n. 肘；衣服肘部 v. 用肘推、挤
elderly	 adj. 年纪相当大的
electrical	 adj. 电的，电气科学的
electrician	 n. 电工，电学家
electronic	 adj. 电子的，用电子操纵的
electronics	 n. 电子学(单数)
elegant	 adj. 优美的，雅致的
elementary	 adj. 基本的，初级的
elevate	 v. 升高，抬起，提高
ephemeral	 adj. 短暂的
epidemic	 adj. (疾病)流行性的，传染的
episode	 n. 一系列事件中的一个事件
epoch	 n. 新纪元，新时代
equal	 a&n&vt. 相等的，相等于，相等匹敌
equation	 n. 方程式，等式
equator	 n. 赤道
equilibrium	 n. 平衡，均衡
equitable	 adj. 公平的；公正的
equity	 n. 公平；公正；无固定利息的股票
equivalent	 a&n. 相等的，相同
equivocal	 adj. 暧昧的，可疑的
eradicate	 v. 根除；消除
erase	 v. 擦掉，抹掉
erect	 v. 建立，使竖立 adj. 直立的，竖直的
erosion	 n. 腐蚀，侵蚀
errand	 n. 差使；差事
erratic	 adj. 古怪的，反复无常的，不稳定的
erroneous	 adj. 错误的，不正确的
erupt	 v. 喷发，爆发
escalate	 v. 升级，逐渐发展
escalator	 n. 自动扶梯
escort	 n. 护卫者；护航舰 v. 护送，护卫
exterior	 a&n. 外部的；外来的，外表
exterminate	 v. 灭绝，根除
external	 adj. 外面的，外部的
extinct	 adj. 消灭了的，熄灭了的，绝种的
extinguish	 v. 熄灭，扑灭
extort	 v. 强取，勒索
extra	 a&ad&n. 额外的/地，非常，另外；额外的人
extract	 v. 拔出；榨取；摘录 n. 抽出物，选录
extravagant	 adj. 奢侈的，过分的
extreme	 adj. 极度的，尽头的 n. 极端，相反的性质
exuberant	 adj. 茂盛的，精力充沛的
eye	 n&vt. 眼睛；看
fabric	 n. 织物，构造；结构
fabricate	 v. 装配，制造，捏造
fabulous	 adj. 寓言般的；惊人的，难以置信的
face	 n. 脸，表情 v. 面向，正视，承认，呈现前
fetter	 n&vt. 脚镣; 束缚
feud	 n&vt. 长期不和；争吵
fibre	 n. 纤维，结构；质地，性格
fickle	 adj. 感情易变的；无常的
fidelity	 n. 忠诚，忠实; 精确
fierce	 adj. 凶猛的，狂热的，强烈的，愤怒的
figure	 n. 数字，算术，图形，人物 v. 相信，计算
file	 n&vt. 锉，锉刀；文件夹；归档；纵列
filter	 n. 滤器，滤光器 v. 滤过，透过
filth	 n. 污秽，淫猥
finance	 n&vt. 财政，金融；资金
finite	 adj. 有限的，限定的
fist	 n. 拳头
fit	 adj. (病的)发作，痉挛 v&a. n合适,试穿,安装 v. "
fitting	 adj. 适合的，恰当的 n. 试衣；建筑物中的装置
fixture	 n. 附属装置；运动项目
flabby	 adj. (肌肉)不结实的；软弱的
flake	 n&vi. 薄片；撒落
flame	 n&vi. 火焰，火舌
flank	 n&vi. 胁，侧翼，包抄的侧翼
flap	 n&v. 拍打，挥动，垂下物；袋盖；慌乱
flare	 vi&n. 熊熊燃烧，突然燃烧，火光 v&n. 张开
frontier	 n. 国境；尖端；新领域
frost	 n. 严寒，霜v结霜;使(玻璃)具有光泽的表面
frown	 vi&n. 皱眉，不赞成
frugal	 adj. 俭朴的，花钱少的
fruition	 n. 实现；完成
frustrate	 v. 挫败；阻挠
fry	 v. 油煎，油炒
fuel	 n. 燃料；刺激感情之物 v. 供给燃料
fulfil	 v. 完成，履行
fume	 n. 烟，汽 v. 熏，冒烟; v. 发怒
function	 n. 职责，作用；正式社会集会 v. 起作用
fundamental	 adj. 基础的；十分重要的 n. 基本原则
funeral	 n. 葬礼，丧葬
funnel	 n. 漏斗，烟囱 v. 汇集
furious	 adj. 狂怒的
furnace	 n. 炉子，熔炉
furnish	 v. 供应，用家具装备房子
fury	 n. 狂怒，愤怒的爆发
fuse	 n. 导火线，引信，保险丝 v. 熔，烧断电路
fusion	 n. 熔合，熔接
fuss	 n. 大惊，小怪 v. 忙乱，使烦躁
gaily	 adv. 快乐地，娱乐地
galaxy	 n. 星系；一群人
glare	 n&v. 眩目地照射，闪耀，瞪视
gleam	 n&vi. 微光，闪光，短暂而微弱的闪现
glide	 vi&n. 滑动，滑翔
glimmer	 vi&n. (发)微光；少许，微量
glimpse	 n&vt. 一瞥，匆匆一看
glitter	 vi&n. 闪闪发光，闪光
global	 n. 全世界的，全球的；综合的
gloomy	 adj. 黑暗的；郁闷的
glorious	 adj. 辉煌的；壮丽的，光荣的
gloss	 n. 光泽，光滑；虚饰；注释 v. 加光泽于
glossary	 n. 词汇表；术语汇编
glow	 n. 光辉 v. 发白热光；脸发红发热
glue	 n. 胶水，胶 v. 粘贴，紧贴
guy	 "n. 家伙, 人 "
gymnasium	 n. 体育馆
hail	 n&v. (下)冰雹；(冰雹般)一阵，落下
halt	 n&v. (途中)暂停，停止，终止 v. 犹豫
hamper	 v. 妨碍，阻碍，牵制
hand	 n. 手；掌握；责任；人手；指针 v. 传递
handbook	 n. 手册，便览
handicap	 v. 妨碍 n. 障碍，残废
handsome	 adj. 漂亮的；大方的
hang	 v. 挂，悬挂；吊死；贴，糊
holocaust	 n. 大破坏
homestay	 n. 在当地居民家居住
homogeneous	 adj. 同类的，同族的
hop	 v&n. 单足跳，弹跳
horizon	 n. 地平线，眼界，视野
horrible	 adj. 可怕的，恐怖的；讨厌的
horticulture	 n. 园艺
hose	 n. 输水软管；长统袜 v. 浇园子，用管冲洗
hospitality	 n. 好客，殷勤
host	 n. 主人; 许多，一大群，旅店老板
hostage	 n. 人质
hostile	 adj. 敌对的，敌方的，不友好的
hound	 n. 猎狗；卑鄙的人 v. 用猎狗追，追逐
hover	 v. (鸟)盘旋，翱翔，(人)逗留在附近徘徊
howl	 n&v. 嚎叫，怒吼
indelible	 adj. 去不掉的，擦不掉的
indemnity	 n. 保障，保护；赔偿
indicative	 adj. 指示的；表示的
indicator	 n. 指示者，指示物
indifferent	 adj. 不感兴趣的，不关心的，质量不高的
indigenous	 adj. 土生土长的，本土的
indignant	 adj. 义愤的，愤慨的
indispensable	 adj. 必不可少的，必需的
individual	 adj. 个人的，个别的；个体的 n. 个人，个体
induce	 v. 导致；引起
indulge	 v. 放纵，沉迷于
inept	 adj. 不适当的
inert	 adj. 无活动能力的；惰性的
inertia	 n. 呆滞，迟钝，惯性
inevitable	 adj. 不可避免的，照例必有的
infant	 n. 婴儿
infect	 v. 传染，受影响，受感染
infectious	 adj. 传染的；感染性的
inference	 "n. 推论, 推断 "
inferior	 n. 地位(能力)低的人 adj. 劣质的,差的,下等的"
infest	 v. 大批出动，成群出现(鼠类及害虫)
infinite	 adj. 无限的，无穷的
infirmary	 n. 医务，医务室
invalid	 adj. 无效的，作废的 n. 病人，病弱者 adj. 病弱的
invaluable	 adj. 无价的, 无法估价的 "
invariably	 adv. 不变地，永恒地
inventory	 n. 详细目录，存货清单；存货盘存
invert	 v. 倒转，上下倒置
invest	 v. 投资，购买；授予
investigate	 v. 调查，调查研究
invigilate	 v. 监考
invincible	 adj. 无敌的，不能征服的
invisible	 adj. 看不见的，无形的
invoice	 v. 开发票 n. 发票，装货清单
involve	 v. 使陷入，使卷入，包含
irony	 n. 反话，冷嘲，讽刺性的事件、情况等
irrespective	 adj. 不考虑的，不顾的
irrigation	 n. 灌溉
irritate	 v. 激怒；使烦躁，使感到不适
isle	 n. 岛，小岛
isolate	 v. 隔离，孤立
issue	 n. 出版，问题，发行 v. 分发，出版，发行
item	 n. 条款，项目，一条(新闻)
itinerary	 n. 旅行计划，旅行日记，旅程
ivory	 n. 象牙；象牙制品 adj. 象牙色的
jagged	 adj. 边缘不整齐的，参差不齐的
lay	 v. 放，放置，安置；下蛋
layer	 n. 层
layman	 n. 俗人，外行，门外汉
layoff	 n. 临时解雇，停工
layout	 n. 布置，设计
leaflet	 n. 散页的印刷品，传单
leak	 n. 漏洞，泄漏
leap	 v. 扑向，欣然接受 n. 跳，跃
lease	 v. 出租 n. 租约
leave	 v. 离开，遗忘；保持一定状态；留下
legal	 adj. 法律的
legend	 n. 传说，传奇，传奇文学；地图图例
legislate	 v. 立法
loom	 v. 隐隐呈现，赫然耸现 n. 织机，织造(术)
loop	 n. 环状物，绳圈，环 v. 绕成圈
lottery	 n. 彩票
lounge	 v. 懒洋洋地倚、躺；闲逛 n. 懒洋洋的姿势
loyal	 adj. 忠诚的
lubricate	 v. 使润滑，使顺利
lucid	 adj. 清楚的，易懂的，神智清醒的
lucrative	 adj. 有利的，赚钱的
ludicrous	 adj. 荒谬的，可笑的
lull	 v. 使安静，变平静 n. 间歇
luminous	 adj. 发光的；发亮的
maritime	 adj. 海上的；海事的；近海的；沿海的
marrow	 n. 髓，骨髓
marsh	 n. 沼泽，湿地
martial	 adj. 战争的；军事的
martyr	 n. 烈士，殉难者 v. 杀害，折磨，牺牲
marvel	 n. 令人惊奇的事；创造奇迹
marvelous	 adj. 令人惊奇的；创造奇迹的
masculine	 adj. 男性的，阳性的
mask	 n. 面具；口罩 v. 遮蔽，伪装
massacre	 n&vt. 大屠杀，残杀
massive	 adj. 巨大的
masterpiece	 n. 杰作；名著
match	 n. 火柴；比赛；对手；婚姻;相称v相当,相配
maternal	 adj. 母亲的，母系的
matrimony	 n. 婚姻，结婚，婚姻生活
mature	 adj. 成熟的，充分发展的 v. 使成熟，使成长
maximum	 n. 最大量；最大限度
meadow	 n. 草地
meager	 adj. 瘦的，不足的，贫乏的
mean	 adj. 难看的，简陋的；吝啬的，自私的 n. 中间
means	 n. 方法，手段，金钱，财富
measure	 n. 量度，分量，尺寸；量具；行动，步骤
mechanism	 n. 机械装置；机构；机制
mishap	 n. 不幸的事，不幸；灾祸
misrepresent	 v. 误传，歪曲，曲解
missile	 n. 发射物；导弹
mission	 n. 代表团；使命
mist	 n. 薄雾；朦胧
misuse	 v. 误用, 滥用；虐待"
mitigate	 v. 使缓和；使镇静
mobile	 adj. 易动的，运动的；易变的
mobilize	 vt&vi. 动员
mock	 vt&vi. 嘲弄，嘲笑 adj. 假的，模拟的
mode	 n. 方法；样式
moderate	 adj. 适度的 n. 稳健的人，政治温和派 v. 缓和
modest	 adj. 谦让的，适度的；有礼貌的
modify	 v. 减轻，修改
module	 n. 量度单位；建筑用的标准部件
moist	 adj. (表面)潮湿的，湿润的
molecule	 n. 分子
molest	 v. 骚扰；干扰
momentous	 adj. 重要的，重大的
momentum	 n. 动量；势头
monarchy	 n. 君主，最高统治者；君主政体，君主国
monitor	 n. 班长；监视器 v. 监听；监视
monologue	 n. 戏剧的独白；滔滔不绝
nicety	 n. 细微的区别及差异
nickel	 n. [化]镍；美国五分镍币
nightmare	 n. 恶梦；可怕的经历
nil	 n. 无；零
nitrogen	 n. [化]氮
nobility	 n. 高贵，高尚；贵族
nominal	 adj. 名义上的，有名无实的；极微的；象征性的
nominate	 v. 提名
nominee	 n. 被提名者，被任命者
norm	 n. 标准，规范
nostalgia	 n. 怀乡病，留恋过去，怀旧
notable	 n. 名人；显要人物 adj. 显著的；著名的
notary	 n. 公证人，公证员
notation	 n. (数学、音乐)的一套符号
notch	 n. (V字形)槽口，缺口
nothing	 n&ad. 没有什么；毫不
notify	 v. 通知，报告
offset	 n. 抵销；补偿
offshore	 a&ad. 离岸的(地)；近海的(地)
offspring	 n. 子孙后代；动物的幼仔
omen	 n. 预兆，征兆
ominous	 adj. 不祥的，不吉利的
omit	 v. 疏忽，忘记；省略；遗漏
on	 ad&prep. 在上
once	 conj. 一旦 adv. 一次；从前
oncoming	 adj. 即将来临的；接近的
one	 a&n&porn. 一
ongoing	 adj. 继续的
override	 v. 不理(某人的愿望要求)，不顾
overrun	 v. 否决，驳回
oversee	 v. 监督，监管
overtake	 v. 超过，赶上；突然降临
overt	 adj. 公开的，明显的，公然的
overthrow	 v. 击败，推翻，使毁灭
overture	 n. 提议，建议；序曲
overwhelm	 v. 压倒，淹没
overwrought	 adj. 过分劳累的，过度兴奋的
owe	 v. 欠债；感激；由于
ownership	 n. 所有权
oxide	 n. [化]氧化物2003-2-23 16:18:00举报帖子
pace	 n. 一步；走或跑的速度
pacify	 v. 抚慰；平静；平安；绥靖
pad	 n. 垫子；拍纸簿 v. 步行，走路
paddle	 n. 短桨 vt&vi. 用桨划动
pageant	 n. 露天表演，庆典
pains	 n. 辛苦
painstaking	 adj. 极小心的；勤恳的
palatable	 adj. 可口的，美味的；惬意的
palm	 n. 手掌，棕榈
peer	 n. 同等；同辈 v. 凝视
penalty	 n. 处罚，惩罚
pendulum	 n. 钟摆
penetrate	 v. 穿过；透过
pension	 n&vt. 养老金，退休金；给予养老金
perceive	 v. 察觉，发觉
perceptible	 adj. 察觉得到的，看得出的
perception	 n. 感觉；知觉
percussion	 n. 碰撞；震动
perennial	 "a. 终年的,四季不断的,持久的 n. 多年生植物"
performance	 n. 执行；成绩；演出
perfume	 n. 香水，香味
peril	 n. (严重的)危险；危险的事物
perimeter	 n. 周边，周长，周界
periodical	 adj. 周期的；定期的 n. 期刊；杂志
periodically	 adv. 偶然地，定期地
periphery	 n. (圆体的)外面；周围
periscope	 n. 潜望镜
perish	 vt&vi. 灭亡，使痛苦；腐朽
perishable	 a&n. (尤指食物)易坏的,易腐烂的;易坏之物"
permanent	 adj. 永久性的，持久的
permeate	 v. 弥漫，透过
pitch	 n. 球场；声音的高低度；沥青；程度v投掷
pivot	 n. 中枢，轴；辩论的要点
placard	 n. 招贴，布告
placid	 adj. 平静的，安静的
plagiarize	 v. 剽窃，抄袭（别人学说、著作）
plague	 n. 瘟疫；麻烦，祸患
plaintive	 adj. 哀伤的，忧伤的
planetarium	 n. 天文馆
plank	 n. 厚板，板材，地板
plankton	 n. 浮游生物
plantation	 n. 种植园
plaster	 n&vt. 膏药；(涂)灰泥
plateau	 n. 高原
platform	 n. 月台，站台；讲台；(政党的)政纲，党纲
platitude	 n. 陈词滥调
plausible	 adj. 似乎有道理的
plea	 n. (法律)抗辩；请求，恳求，托词，口实
plead	 vt&vi. 辩护；提出为理由
pledge	 n&vt. 抵押品，典当物；象征
pliable	 adj. 易弯的，柔韧的；易受影响的
predominant	 adj. 主要的，占优势的
preface	 n&v. 序言；为加序
pregnant	 adj. 怀孕的；意义深远的
prejudice	 n. 偏见，成见；(法律)损害，伤害
preliminary	 adj. 初步的，开端的
prelude	 n. 序言，序幕
premise	 n. 前提；房屋
premium	 n. 保险费；额外费用
prerogative	 n. 特权
prescribe	 v. 吩咐使用
prescription	 n. 规定，指定；药方，处方
presence	 n. 出席，到场；风采，风度
presentation	 n. 赠送；提出；显示；描述
preserve	 v. 保护；保存
prestige	 n. 威信，声望；(由于成功等而产生)显赫
prestigious	 adj. 有威信的；有声望的
presumably	 adv. 假定地；也许
presumption	 n. 假定，推测；无理，傲慢
pretentious	 adj. 自负的，自命不凡的
pretext	 n. 借口
prevail	 v. 流行，盛行
prevalent	 adj. 流行的，普遍的
previous	 adj. 先前的
pull	 v&n. 拉，拖，拔
pulp	 n. 果肉，木浆，纸浆
pump	 n. 泵，抽水机vt&vi抽取；盘问；灌注
punctual	 adj. 严守时刻的；准时的
puncture	 n. 小孔，刺孔
pungent	 adj. 刺鼻的，刺激性的
pupil	 n. 瞳孔，瞳仁
purge	 v. 净化，洗清
purity	 n. 纯净；纯洁
pursuit	 n. 追赶；追求；从事，消遣
put	 v. 放
reclaim	 v. 开垦，开拓；要求归还
recline	 vt&vi. 斜倚，躺
recommendation	 n. 推荐，介绍；推荐信
reconcile	 v. 使和解；使复交；调解，调停
recover	 vt&vi. 重新找到；复原，痊愈
recruit	 v&n. 招募，吸收
rectangle	 n. 矩形，长方形
rectify	 v. 纠正；矫正
recycle	 v. 使再循环；回收利用
redeem	 v. 买回，赎回；补偿；补救
redundant	 adj. 多余的，过剩的
reel	 n. 卷，轴；(胶片)一盘 v. 卷
reference	 n. 证明；出处；参照
referendum	 n. 公民投票、复决权
refine	 v. 精炼，提纯；使文雅
refrain	 v. 抑制
refreshing	 adj. 使精力恢复的；使耳目一新的
refreshment	 n. 点心
refugee	 n. 避难者，难民
refund	 v. 归还 n. 归还；归还额
refusal	 n. 拒绝
regardless	 adj. 不注意的，不顾的
retort	 v&n. 反驳，反击
retreat	 vi&n. 撤退
retrieve	 vt&vi. 再获得；挽回；挽救
retrospect	 n. 回顾；回想
revelation	 n. 揭示，揭露
revenge	 v. 报复，报仇
revenue	 n. (国家的)年收入；税收
reverent	 adj. 恭敬的，虔诚的
reverse	 n&v&a. 相反(的)；颠倒(的)
review	 v&n. 回顾；检查；评论
revise	 v. 修订；改正
revive	 v. 苏醒，复活；复兴，再流行
revolt	 v&n. 反抗；厌恶
revolve	 vt&vi. 使旋转；使绕转
reward	 n&v. 奖赏
rhetoric	 n. 修辞学
rhythm	 n. 韵律，格律；有规律的反复(循环)，周期性
ribbon	 n. 缎带，丝带，带状物
ridge	 n. 山脊，脊，岭
ridiculous	 adj. 荒谬的，可笑的
rig	 v. 给船装帆;为提供必要装备 n. 成套设备
righteous	 adj. 正直的，正当的，公正的
scissors	 n. 剪刀
scold	 vt&vi. 责骂，申斥
scoop	 n. 勺，铲子；独家新闻
scorch	 vt&vi. 烧焦，烤焦，枯萎
score	 n&v. 刻痕；记分；乐谱
scorn	 n. 轻蔑；蔑视
scout	 n. 侦察员，侦察机，侦察舰
scrap	 n. 碎片，碎屑；少许，少量
scrape	 v&n. 刮, 擦"
scratch	 v. 抓；搔，挖 n. 抓痕，擦伤
screw	 n. 螺旋，螺丝；螺旋浆 vt&vi. 钉住，拧
script	 n. 手迹，笔迹; 手稿; 剧本
scroll	 n. 卷轴; 纸卷
scrutiny	 n. 细察，调查
sculpture	 n&v. 雕塑；雕刻
scum	 n. 泡沫，浮垢，糟粕，渣滓
seal	 n&v. 海豹；封蜡，封印；印记
seam	 n&v. 线缝，接缝
seclude	 v. 使隔离；使孤立，使隐退
secondary	 adj. 第二的，中级的；次要的
secretion	 n. 分泌，分泌物
sicken	 vt&vi. (使)生气；(使)厌恶
siege	 n. 围困；围城
sieve	 n. (细)筛，过滤网
sigh	 v&n. 叹气
sightseeing	 n. 观光，游览
sign	 n. 记号；标志；征兆 v. 签名
signal	 n&v. (发)信号
signature	 n. 签名
significant	 adj. 意义深长的；重要的
signify	 v. 表示；意味
similar	 adj. 类似的
simplify	 v. 简化
simulate	 v. 假装；模拟
simultaneous	 adj. 同时发生的
sincere	 adj. 真挚的；诚恳的
single	 adj. 单一的；未婚的；单人的 n. 单打，单程票
singular	 adj. 非凡的，卓越的
sink	 n. 洗涤漕
site	 n. 位置 v. 设置
situated	 adj. 坐落在的；处于某种境地的
skeleton	 n. 骨骼；(建筑物、计划的)骨架；纲要
sketch	 n. 草图，素描; n. 短剧；简述 v. 草拟
species	 n. 生物的种；种类
specific	 adj. 具体的；特定的
specification	 n. 载明，详述；规格，清单，说明书
specimen	 n. 标本，样品，样张；试样
spectacle	 n. 场面；景象；壮观
spectacular	 adj. 壮观的
spectator	 n. 旁观者，观众
spectrum	 n. 系列；光谱
speculate	 v. 思索，推测，投机
sphere	 n. 球，球面；天体；(兴趣,活动,势力等)范围 "
spill	 vt&vi. (使)溢出，(使)溅出
spin	 v. 纺纱，编结；编造故事
spiral	 adj. 螺旋形的
spiritual	 adj. 精神的，心灵的；神圣的，超自然的
spit	 v. vi吐(唾沫)
splash	 v&n. 溅水，泼水；显示，鼓吹
splendid	 adj. 壮丽的，辉煌的
split	 vt&vi. 劈开，使裂开；分离
spoil	 v. 破坏；宠坏；(食物)变坏
spokesman	 n. 发言人
sponge	 n. 海绵(状物)，松糕
sponsor	 n&v. 发起(人)；主办(人)
spontaneous	 adj. 自发的；自然产生的
stitch	 n. 缝纫；缝线；(肋部)突然剧痛
stock	 n. 存货；供给；股票 v. 供应
stoop	 vt&vi. 弯腰，俯身；屈从，堕落，沦为
storage	 n. 仓库，货栈
storey	 n. 房屋的一层
straightforward	 adj. 正直的，坦率的，老实的，简明易懂的
strain	 n. 拉紧，紧张，拉力；劳累 vt&vi. 尽量利用
strait	 n. 海峡；困难，窘迫
strap	 n. 皮带，带 v. 用带束住；捆扎
strategic	 adj. 战略的，战略方针的
strengthen	 vt&vi. 加强；巩固
strenuous	 adj. 费劲的，用力的
stress	 n. 压力；重压 v. 着重，强调重点，重视
stretch	 vt&vi. 伸长，拉长；滥用，曲解 n. 伸展
stride	 v&n. 大踏步走
striking	 adj. 引人注目的，显著的
string	 n. 线，细绳；弦
strip	 vt&vi. 剥去；除去；剥夺财产 n. 狭长一片
stripe	 n. 条纹
strive	 v. 斗争，努力，奋斗
suspend	 v. 吊，悬挂，悬浮；暂停
suspense	 n. (新闻、决定)不确定，悬而未决
suspension	 n. 悬挂，暂停
suspicious	 adj. 可疑的，疑心的
sustain	 v. 支撑；支持，维持
sustenance	 n. 食物，营养
swallow	 v. 吞，咽
swamp	 n. 沼泽地，使淹没
swarm	 n. (昆虫)等一大群 v. 成群飞舞；蜂拥而入
sway	 v&n. 摇摆；统治，支配
swear	 vt&vi. 郑重地说；强调；发誓
sweater	 n. 厚运行衫，毛线衫
sweep	 n. 扫，扫除；连绵区域 v. 扫除；掠过；连绵
swell	 vt&vi. 使膨胀；使增强，使壮大，使隆起
swerve	 vt&vi. 突然转向
swift	 adj. 快的；迅速的，敏捷的
swing	 vt&vi. 摆动，摇动；旋转，转向
swirl	 vt&vi. 打旋，旋动
syllabus	 n. 教学大纲
symbolize	 v. 用符号表示；作为象征
symmetry	 n. 对称；匀称
sympathetic	 adj. 同情的，有同情心的
symphony	 n. 交响乐曲
terminal	 n. 终点站；航空枢纽 adj. 每期的；终点的
terminate	 vt&vi. 终止，结束
terrace	 n. 斜坡地，梯田；看台，大阶级
terrain	 n. 地面，地形，地图
terrestrial	 adj. 地球上的，陆地的
terrific	 adj. 可怕的，非常的
terrify	 v. 恐吓
territorial	 adj. 领土的，领地的
territory	 n. 领土，区域
terror	 n. 恐怖
terse	 adj. (说话，文笔)精炼的，简明的
testimony	 n. 证据，证言
textile	 a&n. 纺织的，纺织品
texture	 n. (织物)组织，结构；(材料)构造，结构
thaw	 vt&vi. (冰雪)融化；使变得友善 n. 解冻
theft	 n. 偷盗
theme	 n. 题目；主题
therapy	 n. 治疗；疗法
thereby	 adv. 借以，从而
towel	 n. 毛巾，手巾
toxic	 adj. 有毒的，中毒的
trace	 n. 痕迹；足迹；微量 v. 描绘，勾出轮廓
track	 n&v. 行迹；踪迹；跟踪
tract	 n. 地带；系统
traction	 n. 拖，牵，牵引力
tragedy	 n. 悲剧；惨事
trail	 n. 痕迹，足迹，小径 v. 拖，拉，蔓延
trait	 n. 特征，品质
tramp	 v. 徒步远行；长途跋涉
trample	 v. 踩，践踏；蔑视，粗暴对待
tranquility	 n. 安静，平静
transaction	 n. 办理，处理；执行；事务，事项，交易
transcend	 v. 超出，超过
transcript	 n. 抄本，副本
transfer	 v. 转让；转业；调任 n. 转移，传递
transform	 v. 改变(形状性质等)
transfuse	 v. 给输血
traitor	 n. 叛徒，卖国贼
transgress	 vt&vi. 越越限度；违反(法律规则)
transistor	 n. 晶体管
transit	 n. 运输，搬运
transition	 n. 转变，过渡
undercharge	 n. 潜流；(思想，情绪)暗流
underestimate	 v. 低估
undergo	 v. 经历，遭受
underline	 v. 划线于之下，强调
underlying	 adj. 含蓄的，潜在的；在下面的
undermine	 v. (暗中)破坏；(逐渐)削弱
underneath	 prep&ad. 在下面，在底下
undertake	 v. 同意，答应；着手做某事
underwrite	 v. 给保险；同意赔款(海上保险)
undo	 v. 解开，拨开；败坏(名声，成果)
undoubtedly	 adv. 无疑地，必是地
undue	 adj. 过分的，过度的
uneasy	 adj. 不自在的
unemployment	 n. 失业
uneven	 adj. 不平坦的，不均匀的
unfold	 vt&vi. 展开，打开
ungainly	 adj. 笨拙的，难看的
uniform	 adj. 不变的，一贯的 n. 制服
unify	 v. 使联合，统一，使相同，一致
unilateral	 adj. 单方面的；片面的
unique	 adj. 唯一的，独一无二的
universal	 adj. 全体的，普遍的；全球的
unlikely	 adj. 未必的，不大可能的
virtuous	 adj. 有德行的; 善良的
virus	 n. 病毒
visible	 adj. 可见的
visualize	 v. 使形象化；想象
vital	 adj. 生命的；必需的；极期重要的
vivid	 adj. 鲜艳的；活泼的，有生气的；清晰的
vocational	 adj. 职业的；业务的
vogue	 n. 流行物，时髦
void	 adj. 空的，空虚的
volatile	 adj. (液体)易挥发的；(人)反复无常的
volcano	 n. 火山
voltage	 n. 电压
volume	 n. 卷，容积；音量；大量
voluntary	 adj. 自愿的，志愿的；有意的
volunteer	 vt&n. 自愿参加(者)
vomit	 vt&vi. 呕吐；大量喷出
voucher	 n. 凭单，收据
vow	 n. 誓约，许愿
vulgar	 adj. 粗俗的，趣味不高的，通俗的，庸俗的
vulnerable	 adj. 易受攻击的
wage	 n. 周薪 v. 从事(战争等)
wager	 n. 赌注 v. 押注，打赌
waggon	 n. 货车
