reproduce	 v. 复制；再生；生殖；使…在脑海中重现
tangle	 n. 纠纷；混乱状态 v. 使纠缠；处于混乱状态
macho	 adj. 大男子气概的 n. 强壮男子；大丈夫
patriotic	 adj. 爱国的
tick	 v. 标记号于；滴答地记录 n. 滴答声；扁虱；记号；赊欠
godfather	 n. 教父 vt. 当…的教父
resplendent	 adj. 光辉的；华丽的
pulpit	 n. 讲道坛；高架操纵台；神职人员
woeful	 adj. 悲哀的；悲惨的；遗憾的；不幸的
facility	 n. 设施；设备；容易；灵巧
intercontinental	 adj. 洲际的；大陆间的
cocktail	 n. 鸡尾酒；开胃食品 adj. 鸡尾酒的
gastritis	 n. [内科] 胃炎
preoccupied	 adj. 全神贯注的；心事重重的；被先占的 v. 抢先占有；使…全神贯注（preoccupy的过去式）
craft	 n. 工艺；手艺；太空船 v. 精巧地制作
tragedy	 n. 悲剧；灾难；惨案
comparatively	 adv. 比较地；相当地
rot	 n. 腐烂；腐败；腐坏 v. 腐烂；腐败；堕落 int. （表示厌恶、蔑视、烦恼等）胡说；糟了
hardbitten	 adj. 顽强的；经过磨炼的
footman	 n. 男仆，侍从；步兵
banquet	 n. 宴会，盛宴；宴请，款待 v. 宴请，设宴款待
schoolmistress	 n. 女教师；女校长
dismissal	 n. 解雇；免职
philanthropic	 adj. 博爱的；仁慈的
stomach	 n. 胃；腹部；胃口 v. 忍受；吃下
equilibrium	 n. 均衡；平静；保持平衡的能力
conjunction	 n. 结合；[语] 连接词；同时发生
offhand	 adj. 随便的；即时的；无准备的；即席的 adv. 随便地；即席地；即时地
skip	 v. 跳跃；跳绳；遗漏；跳读 n. 跳跃；跳读
stove	 n. 火炉；窑；温室 vt. 用火炉烤
overturn	 v. 推翻；倾覆；破坏 n. 倾覆；周转；破灭
strange	 adj. 奇怪的；陌生的；外行的 adv. 奇怪地；陌生地，冷淡地 n. (Strange)人名；(英)斯特兰奇；(瑞典、塞)斯特朗格
such	 adj. 这样的，如此的 n. (Such)人名；(英)萨奇；(德)祖赫
attorney	 n. 律师；代理人；检查官
sculpture	 n. 雕塑；雕刻；刻蚀 v. 雕塑；雕刻；刻蚀
negligible	 adj. 微不足道的，可以忽略的
undergo	 v. 经历，经受；忍受
beware	 v. 当心，小心
blush	 v. 脸红；感到惭愧 n. 脸红；红色；羞愧
obscure	 adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的 v. 使…模糊不清，掩盖；隐藏；使难理解 n. 某种模糊的或不清楚的东西
diametrically	 adv. 完全地；作为直径地；直接地；正好相反地
slink	 v. 潜逃；溜走 n. 早产的动物；鬼鬼祟祟的人 adj. 早产的
cooperate	 v. 合作，配合；协力
sue	 v. 控告；请求 n. (Sue)人名；(日)末(名)；(法)休；(英)休(女子教名Susan、Susanna的昵称)
incompetent	 adj. 无能力的，不胜任的；不合适的；不适当的；无力的 n. 无能力者
seclude	 v. 使隔离，使隔绝
nibble	 v. 细咬；一点一点地咬；吹毛求疵 n. 轻咬；啃；细咬
item	 n. 条款，项目；一则；一件商品（或物品） adj. 又，同上 v. 记下；逐条列出
housekeeper	 n. 女管家；主妇
numb	 v. 使麻木；使发愣；使失去感觉 adj. 麻木的；发愣的
interrupt	 v. 中断；打断；插嘴；妨碍 n. 中断
guttural	 adj. 咽喉的；喉咙的；喉音的 n. 喉音；喉音字
cardboard	 n. [纸] 硬纸板；纸板箱；卡纸板 adj. 不真实的；硬纸板制的
mock	 n. 英国模拟考试（mocks） v. 愚弄，嘲弄 adj. 仿制的，模拟的，虚假的，不诚实的
villain	 n. 坏人，恶棍；戏剧、小说中的反派角色；顽童；罪犯
rage	 n. 愤怒；狂暴，肆虐；情绪激动 v. 大怒，发怒；流行，风行
coinage	 n. 造币；[金融] 货币制度；新造的字及其语等
manful	 adj. 勇敢的；果断的；有男子气概的
nice	 adj. 精密的；美好的；细微的；和蔼的 n. (Nice)人名；(英)尼斯
oblige	 v. 迫使；强制；赐，施恩惠；责成；义务
sighting	 n. 瞄准；照准；视线 v. 看见（sight的ing形式）
butter	 v. 涂黄油于；讨好 n. 黄油；奶油；奉承话
proof	 n. 证明；证据；校样；考验；验证；试验 adj. 防…的；不能透入的；证明用的；耐…的 v. 试验；校对；使不被穿透
scholar	 n. 学者；奖学金获得者
amongst	 prep. 在…之中；在…当中（等于among）
habitable	 adj. 可居住的；适于居住的
ingrained	 adj. 根深蒂固的；彻头彻尾的；生染的 v. 使根深蒂固（ingrain的过去分词形式）；生染；就原料染色
conclude	 v. 推断；决定，作结论；结束
assess	 v. 评定；估价；对…征税
enshrine	 v. 铭记，珍藏；把…置于神龛内；把…奉为神圣
yeoman	 n. 自耕农；自由民；仆人
federalism	 n. 联邦制；联邦主义
public	 adj. 公众的；政府的；公用的；公立的 n. 公众；社会；公共场所
lizard	 n. 蜥蜴；类蜥蜴爬行动物
inhibit	 v. 抑制；禁止
manufacture	 n. 制造；产品；制造业 v. 制造；加工；捏造
knock	 v. 敲；打；敲击 n. 敲；敲打；爆震声
cordial	 adj. 热忱的，诚恳的；兴奋的 n. 补品；兴奋剂；甜香酒，甘露酒
different	 adj. 不同的；个别的，与众不同的
fumble	 v. 摸索；笨拙地做；漏接 n. 摸索；笨拙的处理；漏球
burn	 v. 燃烧；烧毁，灼伤；激起…的愤怒 n. 灼伤，烧伤；烙印
penguin	 n. 企鹅；空军地勤人员
eager	 adj. 渴望的；热切的；热心的 n. (Eager)人名；(英)伊格
beige	 n. 米黄色 adj. 浅褐色的；米黄色的；枯燥乏味的
upward	 adj. 向上的；上升的 adv. 向上
erupt	 v. 爆发；喷出；发疹；长牙
ribald	 adj. 下流的；言谈粗俗的 n. 言谈粗俗的人；说下流话的人
dough	 n. 生面团；金钱
building	 n. 建筑；建筑物 v. 建筑；建立；增加（build的ing形式）
squall	 v. 嚎啕；尖叫 n. 暴风；麻烦；高声哭喊；尖叫
troublemaker	 n. 捣乱者，闹事者；惹麻烦的人
empathy	 n. 神入；移情作用；执着
drunk	 v. 喝酒（drink的过去分词） adj. 喝醉了的
president	 n. 总统；董事长；校长；主席
championship	 n. 锦标赛；冠军称号；冠军的地位
hubbub	 n. 喧哗；骚动
amicable	 adj. 友好的；友善的
ten	 num. 十个，十 n. (Ten)人名；(英)坦恩；(意)泰恩；(柬)登
unsettled	 adj. 未决定的；怀疑的；未处理的；不整齐的
thoroughfare	 n. 大道，通路
broken	 adj. 破碎的；坏掉的 v. 折断；打碎；损坏（break的过去分词）
sauna	 n. 桑拿浴 vi. 洗桑拿浴
precaution	 n. 预防，警惕；预防措施 vt. 警惕；预先警告
saw	 v. 看见；明白，了解；锯；锯成；锯开 n. 锯子；谚语
due	 adj. 到期的；预期的；应付的；应得的 n. 应付款；应得之物 adv. 正（置于方位词前）
shopping	 n. 购物，买东西 v. 购物（shop的ing形式）
transition	 n. 过渡；转变；[分子生物] 转换；变调
past	 n. 过去；往事 adj. 过去的；结束的 prep. 越过；晚于 adv. 过；经过
best	 n. 最好的人，最好的事物；最佳状态 adj. 最好的 adv. 最好地 v. 打败，胜过
abhor	 v. 痛恨，憎恶
explore	 v. 探索；探测；探险
ineffectual	 adj. 无效的，不起作用的；徒劳无益的 n. 无用的人；无一技之长者
rustle	 v. 发出沙沙声 n. 沙沙声；急忙；飒飒声
automate	 v. 使自动化，使自动操作
lace	 n. 花边；鞋带；饰带；少量烈酒 v. 饰以花边；结带子
lesbian	 adj. [心理] 女同性恋的 n. 女同性恋者
hi	 int. 嗨！（表示问候或用以唤起注意） n. (Hi)人名；(柬)希
sock	 n. 短袜；一击 v. 重击；给……穿袜 adv. 正着地；不偏不倚地 adj. 非常成功的
pagoda	 n. （东方寺院的）宝塔；印度的旧金币
volunteer	 n. 志愿者；志愿兵 adj. 志愿的 v. 自愿
millennium	 n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
clump	 n. 丛；笨重的脚步声；土块 v. 形成一丛；以沉重的步子行走
sicken	 v. 使患病；使恶心；使嫌恶
jeep	 n. 吉普车
love	 n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物 v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕
cunning	 adj. 狡猾的；巧妙的；可爱的 n. 狡猾
slam	 v. 砰地关上；猛力抨击 n. 猛击；砰然声
handful	 n. 少数；一把；棘手事
fireman	 n. 消防队员；救火队员；锅炉工
decelerate	 v. 减速，降低速度
motel	 n. 汽车旅馆
girlfriend	 n. 女朋友
woollen	 adj. 羊毛制的 n. 毛织品
mechanism	 n. 机制；原理，途径；进程；机械装置；技巧
vermin	 n. 害虫；寄生虫；歹徒
slag	 n. 炉渣；矿渣；熔渣 v. 使成渣；使变成熔渣
fallow	 adj. 休耕的；不活跃的 n. 休耕地；休耕 vt. 使（土地）休闲；潜伏
finish	 v. 完成；结束；用完 n. 结束；完美；回味（葡萄酒）
distinguishable	 adj. 可区别的；辨认得出的；可辨识的
ash	 n. 灰；灰烬
excessive	 adj. 过多的，极度的；过分的
agreement	 n. 协议；同意，一致
pilgrim	 n. 朝圣者；漫游者；（美）最初的移民 vi. 去朝圣；漫游
twin	 v. 使成对 n. 双胞胎中一人 adj. 双胞胎的
treatise	 n. 论述；论文；专著
distraction	 n. 注意力分散；消遣；心烦意乱
uptown	 n. 住宅区 adj. 住宅区的 adv. （美）在住宅区；（美）在城镇非商业区
generation	 n. 一代；产生；一代人；生殖
irritant	 adj. 刺激的；刺激性的 n. [医] 刺激物，[医] 刺激剂
liver	 n. 肝脏；生活者，居民
bog	 n. 沼泽；泥塘 v. 使陷于泥沼；使动弹不得
produce	 v. 生产；引起；创作；生育，繁殖 n. 农产品，产品
asleep	 adj. 睡着的；麻木的；长眠的 adv. 熟睡地；进入睡眠状态
necklace	 n. 项链
rubble	 n. 碎石，碎砖；粗石堆
resemble	 v. 类似，像
bid	 v. 投标；出价；表示；吩咐 n. 出价；叫牌；努力争取
upstart	 n. 暴发户；自命不凡的人；傲慢自负的人 adj. 暴富的；自命不凡的 vt. 使…突然跳起；使…崛起 vi. 突然跳起；崛起
grounding	 n. [电] 接地；基础；搁浅；（染色的）底色 v. [电] 接地（ground的ing形式）；搁浅
celluloid	 n. 赛璐珞；（美俚）电影（胶片）
cursor	 n. 光标；（计算尺的）[计] 游标，指针
indoor	 adj. 室内的，户内的
foul	 adj. 犯规的；邪恶的；污秽的；淤塞的 v. 犯规；弄脏；淤塞；缠住，妨害 n. 犯规；缠绕 adv. 违反规则地，不正当地
resemblance	 n. 相似；相似之处；相似物；肖像
apiece	 adv. 每人；每个；各自地
infidelity	 n. 无信仰，不信神；背信
cent	 n. 分；一分的硬币；森特（等于半音程的百分之一）
shy	 adj. 害羞的；畏缩的，胆怯的 v. 投；畏缩；惊退；厌恶 n. 投掷；惊跳
infernal	 adj. 地狱的；恶魔的；可憎的
intolerable	 adj. 无法忍受的；难耐的
impregnable	 adj. 无法攻取的；不受影响的；要塞坚固的；不可受孕的
nobleman	 n. 贵族
vehicle	 n. [车辆] 车辆；工具；交通工具；运载工具；传播媒介；媒介物
entertainment	 n. 娱乐；消遣；款待
remedy	 v. 补救；治疗；纠正 n. 补救；治疗；赔偿
well	 adv. 很好地；充分地；满意地；适当地 adj. 良好的；健康的；适宜的 n. 井；源泉 v. 涌出
fresco	 n. 壁画
death	 n. 死；死亡；死神；毁灭
bottom	 n. 底部；末端；臀部；尽头 adj. 底部的 v. 装底；测量深浅；查明真相
stem	 n. 干；茎；船首；血统 v. 阻止；除去…的茎；给…装柄
impression	 n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
commune	 v. 谈心，亲密交谈；密切联系 n. 公社
prolong	 v. 延长；拖延
doubtful	 adj. 可疑的；令人生疑的；疑心的；不能确定的
confuse	 v. 使混乱；使困惑
economical	 adj. 经济的；节约的；合算的
sledge	 v. 用雪橇搬运；乘雪橇；用大锤打 n. 雪橇；大锤
adolescent	 adj. 青春期的；未成熟的 n. 青少年
headhunter	 n. 猎头者；物色人才的人；猎取人头的蛮人
diver	 n. 潜水者；跳水的选手；潜鸟
sanctum	 n. 圣所；密室；私室
hobby	 n. 嗜好；业余爱好
accomplished	 adj. 完成的；熟练的，有技巧的；有修养的；有学问的
tradesman	 n. 商人；（英）店主；零售商；手艺人
sombre	 adj. 阴沉的；忧郁的；昏暗的
antiseptic	 adj. 防腐的，抗菌的；非常整洁的 n. 防腐剂，抗菌剂
perpetrate	 v. 犯（罪）；做（恶）
damn	 v. 谴责；罚…下地狱 n. 一点；诅咒 adj. 可恶的 adv. 非常 int. 讨厌
wig	 n. 假发；要人；头脑 v. 使戴假发；斥责
deal	 v. 处理；给予；分配；发牌 n. 交易；（美）政策；待遇；份量
clutch	 n. 离合器；控制；手；紧急关头 v. 攫；企图抓住 adj. 没有手提带或背带的；紧要关头的
eviction	 n. 逐出；赶出；收回
proponent	 n. 支持者；建议者；提出认证遗嘱者
arrange	 v. 安排；排列；整理
disembark	 v. 登陆，下车；上岸
caprice	 n. 任性，反复无常；随想曲，怪想
soprano	 n. 女高音；最高音部；女高音歌手 adj. 女高音的；童声高音的
forlorn	 adj. 被遗弃的；绝望的；孤独的
ordinary	 adj. 普通的；平凡的；平常的 n. 普通；平常的人（或事）
Sedan	 n. 轿车；轿子
airstrip	 n. 飞机跑道
brotherly	 adj. 兄弟的；兄弟般的；亲切的 adv. 兄弟般地；亲切地
eldest	 adj. 最年长的；年事最高的（old的最高级） n. 最年长者
conspire	 v. 共谋；协力
frequently	 adv. 频繁地，经常地；时常，屡次
tawdry	 adj. 非常华丽的；廉价而俗丽的 n. 俗丽的东西；廉价而俗丽之物
dental	 adj. 牙科的；牙齿的，牙的 n. 齿音
relic	 n. 遗迹，遗物；废墟；纪念物
Quaker	 n. 教友派信徒；贵格会教徒
custody	 n. 保管；监护；拘留；抚养权
farce	 n. 闹剧；胡闹；笑剧
perish	 v. 使麻木；毁坏
isle	 n. 岛 vt. 使成为岛屿 vi. 住在岛屿上
repair	 v. 修理；修复 n. 修理，修补；修补部位
etch	 v. 蚀刻；鲜明地描述；铭记 n. 刻蚀；腐蚀剂
tiny	 adj. 微小的；很少的 n. (Tiny)人名；(葡、印)蒂尼
strength	 n. 力量；力气；兵力；长处
bee	 n. 蜜蜂，蜂；勤劳的人
convertible	 adj. 可改变的；同意义的；可交换的 n. 有活动折篷的汽车
handcuff	 v. 给…戴上手铐；限制 n. 手铐；思想上的桎梏
stale	 adj. 陈腐的；不新鲜的 v. 变陈旧；撒尿；变得不新鲜 n. 尿
forensic	 adj. 法院的；辩论的；适于法庭的
instantaneous	 adj. 瞬间的；即时的；猝发的
enhance	 v. 提高；加强；增加
fortify	 v. 加强；增强；（酒）的酒精含量；设防于
anticipation	 n. 希望；预感；先发制人；预支
steadfast	 adj. 坚定的；不变的
sneeze	 v. 打喷嚏 n. 喷嚏
indecision	 n. 优柔寡断；犹豫不决
intriguing	 adj. 有趣的；迷人的 v. 引起…的兴趣；策划阴谋；私通（intrigue的ing形式）
wife	 n. 妻子，已婚妇女；夫人
transplant	 v. 移植；迁移；使移居 n. 移植；移植器官；被移植物；移居者
adjective	 adj. 形容词的；从属的 n. 形容词
monotonous	 adj. 单调的，无抑扬顿挫的；无变化的
fourteenth	 adj. 第十四的；第十四个的 n. 第十四；月的第十四日；十四分之一 num. 第十四
urge	 v. 力劝，催促；驱策，推进 n. 强烈的欲望，迫切要求；推动力
hospital	 n. 医院
England	 n. 英格兰
goodwill	 n. [贸易] 商誉；友好；好意
grieve	 v. 使悲伤，使苦恼 n. (Grieve)人名；(英)格里夫
interlock	 v. [计] 互锁；连锁
noun	 n. 名词
favourable	 adj. 有利的，顺利的；赞成的 n. 有利
granite	 n. 花岗岩；坚毅；冷酷无情
damage	 n. 损害；损毁；赔偿金 v. 损害；损毁
ambience	 n. 气氛，布景；周围环境
airtight	 adj. 密闭的，密封的；无懈可击的
catalogue	 n. 目录；（美）大学情况一览 v. 把…编入目录
several	 adj. 几个的；各自的 pron. 几个；数个
euphemism	 n. 委婉语；委婉说法
