refuse	 v. 拒绝
fool	 n. 蠢人，傻子 v. 欺骗
optical	 adj. 眼的；光学的
attentive	 adj. 注意的；有礼貌的
anybody	 pron. 任何人
complete	 adj. 完整的；完成的
depth	 n. 深度；深厚；深处
participate	 v. 参与，参加；分享
tire	 v. 疲劳，累；厌倦
God	 n. 神，神像；上帝
habit	 n. 习惯；习性
enlarge	 v. 扩大，扩展；放大
bargain	 n. 交易 v. 议价
revolutionary	 adj. 革命的 n. 革命者
instance	 n. 例子，实例，事例
considerate	 adj. 考虑周到的；体谅的
dismiss	 v. 不再考虑；解雇
dare	 v. 敢；竟敢
odour	 n. 气味，味道
cultivate	 v. 耕；种植；培养
thunder	 n. 雷 v. 打雷；吼出
enclose	 v. 附上；围住，圈起
enter	 v. 走进，进入；参加
introduce	 v. 介绍；引进；传入
judgement	 n. 判断；意见；审判
pool	 n. 游泳池；水塘，水池
daring	 adj. 大胆的，勇敢的
postpone	 v. 延迟，推迟，延缓
telegram	 n. 电报
fund	 n. 基金；资金
lifetime	 n. 一生，终身
control	 v. 控制；克制 n. 控制
bronze	 n. 青铜；青铜制品
pit	 n. 坑，地坑；煤矿
lab	 n. 实验室，研究室
dynamic	 adj. 有活力的；动力的
disable	 v. 使无能，使伤残
comparative	 adj. 比较的；相对的
gate	 n. 大门；篱笆门
seed	 n. 种（子），籽；起因，萌芽
worthwhile	 adj. 值得花时间的
fame	 n. 名声，名望
doubtful	 adj. 难以预测的；怀疑的
distinguish	 v. 区别，辨别；认别
concert	 n. 音乐会，演奏会
famine	 n. 饥荒
slice	 n. 薄片，切片；部分
invade	 v. 入侵，侵略；侵袭
celebrate	 v. 庆祝；歌颂，赞美
prisoner	 n. 囚犯
temporary	 adj. 暂时的，临时的
princess	 n. 公主；王妃
treasure	 n. 财富；珍宝 v. 珍视
ill	 adj. 有病的；坏的 adv. 恶劣地；讨厌地
comrade	 n. 亲密的同伴；同志
fragment	 n. 碎片，破片，碎块
problem	 n. 问题；习题，问题
enough	 det. 足够的 adv. 足够地
address	 n. 地址；演说
bath	 n. 浴，洗澡；浴缸
invent	 v. 发明，创造；捏造
provision	 n. 供应；预备；存粮
coordinate	 v. 使协调，调节
devote	 v. 将…奉献，致力于
inside	 prep. 在…里面 n. 内部
valid	 adj. 有效的；正当的
oh	 int. 嗬，哦，唉呀
liberate	 v. 解放；释放
talk	 v. 讲话；谈论
ever	 adv. 在任何时候；曾经
bark	 n. 吠叫声 v. 吠，叫
horror	 n. 恐怖；战栗；憎恶
deduce	 v. 演绎，推论，推断
deserve	 v. 应受；值得
overcome	 v. 克服；战胜
angry	 adj. 愤怒的，生气的
Asian	 adj. 亚洲的 n. 亚洲人
dress	 n. 服装
inefficient	 adj. 效率低的，无能的
mouthful	 n. 满口，一口
appetite	 n. 食欲，胃口；欲望
hospital	 n. 医院
fortnight	 n. 两星期，十四天
chew	 v. 咀嚼，嚼碎
optional	 adj. 可以任意选择的
assist	 v. 援助，帮助
carpet	 n. 地毯，毡毯，毛毯
probability	 n. 可能性；概率
railway	 n. 铁路，铁道
each	 det,pron. 各，各自
explosion	 n. 爆炸，炸裂；爆发
racial	 adj. 种族的；人种的
clerk	 n. 办事员，职员；店员
asleep	 adj. 睡着的，睡熟的
possible	 adj. 可能的；可能存在的
hostess	 n. 女主人
exception	 n. 例外，除外
cathedral	 n. 总教堂；大教堂
acceptance	 n. 接受，验收；承认
might	 v. 可能，会，也许
unite	 v. 联合
ox	 n. 阉牛；牛；公牛
recovery	 n. 重获；痊愈；恢复
fellow	 n. 家伙；伙伴
brown	 n. 褐色，棕色
blind	 adj. 瞎的；盲目的
dash	 v. 使猛撞；溅 n. 猛冲
must	 v. 必须；必然要
importance	 n. 重要；重要性
reception	 adj. 接待；招待会
cap	 n. 帽子，便帽；帽状物
captain	 n. 陆军上尉；队长
rigid	 adj. 刚硬的；僵硬的
mistake	 n. 错误 v. 误解，弄错
depart	 v. 离开，起程；出发
engage	 v. 使从事于；聘用
crazy	 adj. 疯狂的，荒唐的
butcher	 n. 屠夫；屠杀者
pay	 v. 支付；付给；给予
lonely	 adj. 孤独的；荒凉的
corn	 n. 谷物；（英）小麦
pierce	 v. 剌穿
revise	 v. 修订，校订；修改
primarily	 adv. 首先；主要地
field	 n. 田野；田；运动场
compromise	 n. 妥协，和解
crane	 n. 起重机，摄影升降机
future	 n. 将来，未来；前途
external	 adj. 外部的，外面的
fraction	 n. 小部分；片断；分数
delicate	 adj. 纤细的；易碎的
abundant	 adj. 丰富的；大量的
brittle	 adj. 脆的；易损坏的
claim	 v. 声称，主张；索取
appreciate	 v. 领会；感谢；欣赏
about	 prep. 关于；在…周围
parade	 n. 游行；检阅 v. 游行
furnish	 v. 装备，布置 （房间、建筑物）；供应，提供
mourn	 v. 哀痛，哀悼
hazard	 n. 危险；公害
choice	 n. 选择，抉择
liable	 adj. 易于…的；可能的
sum	 n. 金额；总数
foreigner	 n. 外国人
mud	 n. 软泥，泥浆
reveal	 v. 揭示，揭露；展现
fold	 v. 折叠；合拢 n. 褶
beard	 n. 胡须，络腮胡子
illustrate	 v. （用图等）说明
protect	 v. 保护，保卫，警戒
airline	 n. 航空公司
military	 adj. 军事的；军人的
Negro	 n. 黑人
deep	 adj. 深的；纵深的
storey	 n. （层）楼
willing	 adj. 愿意的，心甘情愿的
quarter	 n. 四分之一；一刻钟
obey	 v. 顺从
pattern	 n. 型，式样；模，模型
lightly	 adv. 轻轻地，轻松地
suppose	 v. 猜想；假定
case	 n. 情况；病例；事实
overcoat	 n. 外衣，大衣
installation	 n. 安装；装置；设施
niece	 n. 侄女，外甥女
incline	 n. 斜坡 v. 使倾斜
superficial	 adj. 肤浅的；表面的
appointment	 n. 约定，约会；任命
tyre	 n. 轮胎，车胎
failure	 n. 失败；失败的人
beauty	 n. 美，美丽；美人
painting	 n. 油画；绘画；着色
frown	 v. 皱眉，蹙额
drown	 v. 淹死，溺死
resemble	 v. 像，类似
pressure	 n. 压力；〔工作或生活中的〕压力；压，按
remarkable	 adj. 异常的，非凡的
muscle	 n. 肌肉，肌；体力
nap	 n. 小睡，打盹，瞌睡
polish	 v. 磨光；使优美
company	 n. 公司，商号；同伴
critical	 adj. 批评的；决定性的
renew	 v. 使更新
maintain	 v. 维持；赡养；维修
computer	 n. 计算机，电脑
feasible	 adj. 可行的；可能的
transformer	 n. 变压器
vehicle	 n. 车辆，机动车
politician	 n. 政治家；政客
regard	 v. 把…看作
oral	 adj. 口头的；口的
height	 n. 高，高度；高处
approximately	 adv. 近似地，大约
long	 v. 渴望，极想念
bit	 n. 一点，一些，小片
sole	 n. 脚底；鞋底，袜底
imprison	 v. 关押，监禁；限制
folk	 n. 人们；家属，亲属
carve	 v. 刻，雕刻；切开
practice	 n. 练习；实践；业务
element	 n. 成分；要素；元素
rapid	 adj. 快的
rational	 adj. 理性的；出于理性的
indispensable	 adj. 必不可少的，必需的
contact	 v. 与…联系
treatment	 n. 待遇；治疗，疗法
insure	 v. 给…保险；确保
excellent	 adj. 优秀的，杰出的
loyal	 adj. 忠诚的，忠心的
dull	 adj. 枯燥的；不鲜明的
ghost	 n. 鬼，灵魂；鬼魂
mortal	 adj. 终有一死的；致死的
identify	 v. 认出，识别，鉴定
iron	 n. 铁 v. 烫（衣）
China	 n. 中国
collision	 n. 碰撞；冲突
harmful	 adj. 有害的
volume	 n. 音量；容积；卷，册
bull	 n. 公牛；雄的象
mask	 n. 面具；伪装 v. 掩饰
crime	 n. 犯罪；罪，罪行
debate	 n. 争论，辩论 v. 争论，辩论
newspaper	 n. 报纸，报
criticize	 v. 批评；非难；评论
pencil	 n. 铅笔
courage	 n. 勇气，胆量，胆识
forehead	 n. 额头，前部
perceive	 v. 理解；察觉，发觉
place	 n. 地方，地点；住所
joke	 n. 笑话 v. 说笑话
sheet	 n. 被单；纸张；薄板
dot	 n. 点，圆点 v. 打点于
balance	 v. 使平衡 n. 天平
melon	 n. 瓜，甜瓜
injure	 v. 伤害，损害，损伤
cucumber	 n. 黄瓜
flame	 n. 火焰；热情
less	 adj. 更少的 adv. 更少地
peace	 n. 和平；平静；和睦
solve	 v. 解决；解答，解释
basis	 n. 基础，根据
once	 adv. 一次；曾经
bus	 n. 公共汽车
husband	 n. 丈夫
haircut	 n. 理发
kiss	 v. 吻 n. 吻
pet	 n. 爱畜；宠儿
harvest	 n. 收获；收成 v. 收割
considerable	 adj. 相当大的；重要的
cordial	 adj. 真诚的，诚恳的
sketch	 n. 略图；速写；概略
avenue	 n. 大街；林荫道，道路
bright	 adj. 明亮的；聪明的
intimate	 adj. 亲密的；个人的
locate	 v. 探明，找出，查出
pride	 n. 骄傲；自豪 v. 自夸
ore	 n. 矿，矿石，矿砂
cupboard	 n. 碗柜，碗碟橱；食橱
battery	 n. 电池；一套，一组
impression	 n. 印象；印记
waterproof	 adj. 不透水的，防水的
find	 v. 找到；找出；发觉
chapter	 n. 章，回，篇
powerful	 adj. 有权威的；强有力的
overtime	 n. 加班；加班的时间
carrier	 n. 运输工具；运载工具
troop	 n. 军队；一群，大量
garbage	 n. 垃圾，污物，废料
literature	 n. 文学；文献
excessive	 adj. 过多的，极度的
nasty	 adj. 龌龊的；淫猥的
aboard	 adv. 在船（车）上；上船
outdoor	 adj. 户外的，室外的
accuse	 v. 指责；归咎于
heaven	 n. 天堂；天，天空
include	 v. 包括，包含
poisonous	 adj. 有毒的，有害的
medicine	 n. 内服药；医学
Europe	 n. 欧洲
examine	 v. 检查，仔细观察
halt	 v. 停止；立定 n. 停住
endure	 v. 忍受；容忍
opening	 adj. 开始的 n. 开始
silence	 n. 沉默 v. 使沉默
missile	 n. 导弹；发射物
executive	 adj. 执行的 n. 执行者
reliability	 n. 可靠性
granddaughter	 n. 孙女，外孙女
occasional	 adj. 偶然的；临时的
fortunate	 adj. 幸运的；侥幸的
ear	 n. 耳朵；听力，听觉
sequence	 n. 次序
guarantee	 n. 保证；担保物
link	 v. 有环连接 n. 环
actual	 adj. 实际的
after	 prep. 在…以后；次于
access	 n. 通道，入口
recently	 adv. 最近，新近
intellectual	 n. 知识分子 adj. 智力的
rotate	 v. 旋转
deck	 n. 甲板；舱面；层面
plough	 n. 犁 v. 犁，耕
poison	 n. 毒，毒药 v. 毒害
perhaps	 adv. 也许，可能，多半
acid	 n. 酸 adj. 酸的；酸性的
elect	 v. 选举，推选；选择
cent	 n. 分；分币
arbitrary	 adj. 随心所欲的；专断的
either	 det,pron. （两者）任何一个
Atlantic	 adj. 大西洋的 n. 大西洋
actor	 n. 演剧的人
fever	 n. 发热，发烧；狂热
mostly	 adv. 主要的，大部分
player	 n. 游戏的人；比赛者
swell	 v. 膨胀；增长；隆起
experience	 n. 经验，感受；经历
creative	 adj. 创造性的，创作的
perfect	 adj. 完美的；完全的
affection	 n. 慈爱，爱；爱慕
largely	 adv. 大部分；大量地
extent	 n. 程度；广度；范围
better	 adj. 较好的 adv. 更好地
disappear	 v. 消失；不见；失踪
motivate	 v. 促动；激励，激发
moreover	 adv. 再者，加之，此外
regulate	 v. 管理，控制；调整
respectively	 adv. 各自地，分别地
exit	 n. 出口；退场 v. 退出
chairman	 n. 主席；议长，会长
journal	 n. 日报，杂志；日志
below	 prep. 在…下面（以下）
belief	 n. 信念；信任，相信
minority	 n. 少数；少数民族
over	 prep. 在…上方；超过
conversation	 n. 会话，非正式会谈
factory	 n. 工厂，制造厂
cherry	 n. 樱桃；樱桃树
consent	 n. 同意，赞成 v. 同意
else	 adv. 其它，另外 adj. 别的
mouse	 n. 鼠，耗子
disk	 n. 圆盘，唱片；磁盘
legal	 adj. 法律的；合法的
fundamental	 adj. 基础的，基本的
liquor	 n. 酒
ancient	 adj. 古代的；古老的
pillow	 n. 枕头
grip	 v. 握紧，抓牢 n. 紧握
limitation	 n. 限制；限度，局限
chief	 adj. 首席的；主要的
dark	 adj. 暗的；黑色的
stoop	 v. 俯身；弯身 n. 曲背；驼背
parliament	 n. 议会，国会
weld	 v. 焊接，熔接 n. 焊接点
hang	 v. 挂，悬；吊死
pacific	 adj. 和平的 n. 太平洋
regulation	 n. 规则，规章；管理
against	 prep. 倚在；逆，对着
blood	 n. 血，血液；血统
life	 n. 生命；一生；寿命
cannon	 n. 大炮，火炮；榴弹炮
evening	 n. 傍晚，黄昏，晚上
confine	 v. 禁闭；限制
ceiling	 n. 天花板，顶蓬
ashamed	 adj. 惭愧（的）；羞耻（的）
just	 adv. 正好；只是；刚才
necessity	 n. 必要性；必然性
mercury	 n. 水银，汞
materialism	 n. 唯物主义
let	 v. 允许，让；使
darling	 n. 亲爱的人；宠儿
billion	 num. 万亿（英）
frame	 n. 框架，框子；构架
cheek	 n. 面颊，脸蛋
incident	 n. 发生的事；事件
head	 n. 头；上端 v. 率领
acquaintance	 n. 熟人；认识；了解
fifty	 num. 五十，五十个
people	 n. 人；人民，民族
injection	 n. 注射；注入
fetch	 v. 拿来；请来，接去
indignant	 adj. 愤慨的，义愤的
carpenter	 n. 木工，木匠
function	 n. 功能；职务；函数
transparent	 adj. 透明的；易识破的
exposure	 n. 暴露；揭露；曝光
sightseeing	 n. 观光，游览
around	 prep. 在…周围
everybody	 pron. 每人，人人
cart	 n. 二轮运货马车
theoretical	 adj. 理论（上）的
herd	 n. 兽群，牧群 v. 放牧
fatal	 adj. 致命的
England	 n. 英格兰；英国
sportsman	 n. 运动员
intensity	 n. 强烈，剧烈；〔光、声等的〕强度
violet	 n. 紫罗兰
agree	 v. 同意；持相同意见
lens	 n. 镜头；透镜，镜片
attitude	 n. 态度，看法；姿势
dirt	 n. 尘，污物，污垢；土
assemble	 v. 集合，召集；装配
slender	 adj. 细长的；微薄的
sticky	 adj. 粘性的；胶粘的
drawer	 n. 抽屉
dormitory	 n. 集体寝室；宿舍
ray	 n. 光线；射线，辐射线
delicious	 adj. 美味的；怡人的
admit	 v. 承认；准许…进入
thread	 n. 线；丝；螺纹；头绪
poet	 n. 诗人
somehow	 adv. 由于某种原因
mate	 n. 伙伴，同事；配偶
character	 n. 性格；角色；特性
across	 prep. 横过；在…对面
organ	 n. 器官；管风琴；机构
gesture	 n. 姿势，手势；姿态
equality	 n. 等同，平等；相等
landlady	 n. 女房东；女地主
attend	 v. 出席；照顾，护理
proof	 n. 证据；证明；校样
cover	 v. 盖；包括 n. 盖子
fasten	 v. 扎牢，扣住
push	 v. 推；鼓励；敦促；逼迫
rib	 n. 肋，肋骨
light	 adj. 轻的；少量的
stir	 v. 搅动；搅和；搅拌
earthquake	 n. 地震；大震荡
concentration	 n. 专注；集中；浓度
make	 v. 做，制造；使
wind	 v. 绕，缠绕
guilty	 adj. 内疚的；有罪的
blaze	 n. 火；闪光 v. 燃烧
invest	 v. 投资；投入
cloudy	 adj. 多云的；云一般的
grandson	 n. 孙子，外孙子
feeling	 n. 感觉，知觉；感情
trap	 n. 陷阱；诡计 v. 诱骗
race	 n. 比赛，竞赛，竞争
overlook	 v. 忽略；未注意到；眺望
spade	 n. 铲，铁锹
whistle	 n. 口哨 v. 吹口哨
action	 n. 行动；作用；功能
bolt	 n. 插销；螺栓 v. 闩门
drug	 n. 药，药物，药材
nitrogen	 n. 氮
listen	 v. 听，留神听；听从
murderer	 n. 杀人犯，凶手
evidence	 n. 根据；证据，证人
inhabitant	 n. 居民，住户
instead	 adv. 代替，顶替；反而
alike	 adj. 相像；十分相似
lesson	 n. 功课，课；课程
medium	 n. 媒质 adj. 中等的
lest	 conj. 以免；惟恐
cancel	 v. 取消，撤销
butter	 n. 黄油；奶油
pill	 n. 药丸，丸剂
fairly	 adv. 相当；公平地
horn	 n. 号角；喇叭；角
melt	 v. 融化
preposition	 n. 前置词，介词
fruitful	 adj. 多产的；肥沃的
middle	 n. 中部 adj. 中部的
leap	 v. 跳，跃 n. 跳跃
million	 num. 百万 n. 许多
know	 v. 知道；认识；通晓
biology	 n. 生物学
voluntary	 adj. 自愿的，志愿的
acquire	 v. 取得；获得；学到
independent	 adj. 独立的；自主的
wheel	 n. 轮，车轮
hole	 n. 洞；孔眼；裂开处
symbol	 n. 象征；符号，记号
curious	 adj. 好奇的；稀奇古怪的
bay	 n. 湾
forbid	 v. 禁止，不许；阻止
refer	 v. 谈到
finally	 adv. 最后
nylon	 n. 尼龙，耐纶
ambition	 n. 雄心，抱负，野心
electric	 adj. 电的，电动的
velocity	 n. 速度
relax	 v. 使松弛
golf	 n. 高尔夫球
bone	 n. 骨，骨骼
glory	 n. 光荣；荣誉的事
interpret	 v. 口译；解释，说明
want	 n. 需要；缺乏
mood	 n. 心情，情绪；语气
coach	 n. 长途公共汽车
examination	 n. 考试；检查，细查
kindness	 n. 仁慈，好意
terror	 n. 恐怖，惊骇
heroine	 n. 女英雄；女主角
cricket	 n. 板球；蟋蟀
retreat	 v. （被迫）退却；后退
curve	 n. 曲线；弯 v. 弄弯
structural	 adj. 结构的，构造的
via	 prep. 经过；通过
misunderstand	 v. 误解，误会，曲解
pond	 n. 池塘
precaution	 n. 预防；警惕
shore	 n. 滨，岸
autumn	 n. 秋，秋季
prospect	 n. 展望；前景，前程
question	 n. 问题；疑问
front	 adj. 前面的 n. 前部
broadcast	 n. 广播，播音
background	 n. 背景，经历；后景
appearance	 n. 外观；出现，来到
fur	 n. 软毛；毛皮，裘皮
pronoun	 n. 代词
coarse	 adj. 粗的，粗糙的
clarify	 v. 澄清，阐明
remote	 adj. 相隔很远的；冷淡的
investigation	 n. 调查，调查研究
boat	 n. 小船，艇
attractive	 adj. 有吸引力的
occupy	 v. 占领；占，占有
agony	 n. 极度痛苦
platform	 n. 站台；讲台；平台
communism	 n. 共产主义
not	 adv. 不，没有
intensive	 adj. 加强的；精耕细作的
maybe	 adv. 大概，或许；也许
disgust	 n. 厌恶，憎恶
utilize	 v. 利用
protection	 n. 保护
connect	 v. 连接，连结；联系
