sensible	 adj. 可感觉的；明智的
vulgar	 adj. 粗俗的，趣味不高的，通俗的，庸俗的
option	 n. 选择，可选择的事物
economics	 n. 经济学
periodically	 adv. 偶然地，定期地
roam	 vt&vi. 漫步，漫游
stoop	 vt&vi. 弯腰，俯身；屈从，堕落，沦为
extinguish	 v. 熄灭，扑灭
disturbance	 n. 打扰，骚动
censor	 n&vt. 审查，审查员；删改
lever	 n. 杆，杠杆；施加影响的手段 v. 用杠杆移动
gang	 n. 一组，一队，(罪犯等)一帮，一群
detach	 v. 使分开；拆卸；派遣
stimulus	 n. 刺激物；鼓励
knot	 n. 绳结；结合；树节；海里；小群人 v. 打结
tumult	 n. 喧哗；激动，混乱；吵闹
ardent	 adj. 热心的；热情的
ideology	 n. 思想，思想体系，意识形态
everlasting	 adj. 永久的，永恒的
insight	 n. 洞察，洞悉，见识
artificial	 adj. 人工的；娇揉造作的
uphold	 v. 支持；赞成；确认
constitution	 n. 宪法；体格；构造
canvas	 n. 粗帆布；油画布
prominent	 adj. 突出的，显要的，著名的
flirt	 v. 挥动，调情 n. 调情者；急动
duly	 adv. 按时地，适当地
maize	 n. 玉米
insipid	 adj. 无味的，枯燥乏味的；单调的
favour	 n&vt. 好感，赞成，偏爱
malignant	 adj. 恶意的；恶毒的；(疾病)恶性的
systematic	 adj. 有系统的，系统的；有计划有步骤的
caustic	 adj. 腐蚀性的；刻薄的；苛刻的
inherent	 adj. 固有的
wage	 n. 周薪 v. 从事(战争等)
amuse	 v. 使娱逗，逗…笑
negligible	 adj. 微不足道的，可以忽视的
air	 n. 空气
incur	 v. 招致; 遭受
molest	 v. 骚扰；干扰
monstrous	 adj. 巨大的；恐怖的；可耻的，丢脸的
edible	 adj. 可以食用的
offer	 v. 违犯；伤害的感情 n. 提供；提议
alternate	 adj. 交替的，轮流的 v. 轮流交替，交替
tramp	 v. 徒步远行；长途跋涉
sprout	 vt&vi. 发芽，开始生长；发展
tempo	 n. (行动，活动)速度；节拍；节奏
tough	 adj. 坚韧的，咬不动的；强壮的；粗暴的
maritime	 adj. 海上的；海事的；近海的；沿海的
spark	 n&v. (发)火花
establish	 v. 建立，委任；安置；证实；确立
dim	 adj. 暗的，看不清楚的，迟钝的 v. 变暗淡
lodge	 v. 供住宿，寄宿；存放；提出 n. 仆人住房
rendezvous	 n. 约会；集会，聚会之地点
martyr	 n. 烈士，殉难者 v. 杀害，折磨，牺牲
confront	 v. 使面对；面临
neat	 adj. 整洁的；雅致的；灵巧的；纯的；不掺水的
rectangle	 n. 矩形，长方形
transgress	 vt&vi. 越越限度；违反(法律规则)
verdict	 "n. (陪审团)裁决, 定论；意见 "
evacuate	 v. 撤离，疏散，排清
remorse	 n. 懊悔，悔恨
caution	 n&vt. 小心；告诫，警告
subordinate	 adj. 下级的，次要的,从属的 n. 部下，下级职员
chin	 n. 下巴，颏
live	 v. 活，生活 adj. 有生命的，实况的
global	 n. 全世界的，全球的；综合的
revive	 v. 苏醒，复活；复兴，再流行
pesticide	 n. 杀虫剂，农药
create	 v. 创造；创作；产生；造成
gloss	 n. 光泽，光滑；虚饰；注释 v. 加光泽于
entreat	 v. 恳求，央求
detain	 v. 留住；扣押，拘留
tidy	 adj. 整洁的；有条理的
eloquent	 adj. 雄辩的
attend	 v. 专心；照顾
postage	 n. 邮费，邮资
postpone	 v. 推迟；延缓
crisp	 adj. 脆的；干脆的 n. 油炸马铃薯片 v. (使)发脆
instrument	 n. 仪器；器具；乐器
most	 n&a&ad. 大多数，最；最多的(地)
situated	 adj. 坐落在的；处于某种境地的
notify	 v. 通知，报告
phobia	 n. (病态的)恐惧，憎恶
municipal	 adj. 市的，市政的
eye	 n&vt. 眼睛；看
curl	 n. 卷毛；卷发 v. 使卷曲
vehicle	 n. 车辆交通工具；思想媒介
minus	 a&n&prep. 负的，负号；减
scold	 vt&vi. 责骂，申斥
section	 n. 部分，零件；剖面，横断面，阶层
reciprocal	 adj. 相互的；互惠的
category	 n. 种类，类目
captive	 n&a. 俘虏，迷恋者；被俘虏的，被拴住的
panic	 n. 恐慌，惊慌 v. 受惊，惊慌
intact	 adj. 未受损的，完整的
entry	 n. 进入，入口；条目，词条
inspiring	 adj. 令人振奋的
tedious	 adj. 乏味的，沉闷的
cannon	 n. 大炮 v. 开炮
stereo	 n. 立体声录音机
feedback	 n. 反应，用户反应
lament	 v. 悲痛，哀悼 n. 挽歌，挽诗
paradise	 n. 天国；乐园
fountain	 n. 泉水，喷泉；源泉
acquisition	 n. 获得，获得物
revise	 v. 修订；改正
closet	 n. 小储藏室
prolific	 adj. 多产的，丰富的
audible	 adj. 听得见的
advent	 n. 降临，出现
get	 v. 使得，使成为某种状态，开始起来
recline	 vt&vi. 斜倚，躺
pier	 n. 桥墩；码头
menace	 n&vt. 危险，威胁
outrageous	 adj. 残暴的，蛮横的
fossil	 n. 化石
ethnic	 adj. 种族的；人种学的
marital	 adj. 婚姻的，丈夫的
wrought	 adj. 锤炼的
supposedly	 adv. 想象上，恐怕
clockwise	 adv. 顺时针方向地
sector	 n. 战区，防区；(工业等)部门，部分
chunk	 n. 厚块
transplant	 n&v. 移植，移种；人工移植(心,胃)；迁移 "
radiate	 v. 发射，放射
millennium	 n. 一千年，千禧年；太平盛世
speculate	 v. 思索，推测，投机
inept	 adj. 不适当的
lamb	 n. 小羊；羔羊肉
specimen	 n. 标本，样品，样张；试样
hop	 v&n. 单足跳，弹跳
differ	 v. 不相同，意见不一致
volunteer	 vt&n. 自愿参加(者)
aquarium	 n. 水族馆；养鱼池
supposition	 n. 假定，想象，猜测
costume	 n. 服装式样；戏服
fixture	 n. 附属装置；运动项目
strive	 v. 斗争，努力，奋斗
seclude	 v. 使隔离；使孤立，使隐退
heighten	 v. 加高，提高；增大
predecessor	 n. 前任
aboriginal	 n&a. 土著(的)；土生动植物(的)
chronological	 adj. 按时间顺序的
assault	 n&vt. 袭击
sober	 adj. 严肃的，认真的，清醒的
implement	 n. 工具，器具 v. 贯彻，履行
quiver	 vt&vi. 颤动，抖动
ostentation	 n. 夸耀，卖弄
compulsory	 adj. 义务的；强制的
hike	 v&n. 徒步旅行；增加；抬起
tackle	 vt&vi. 处理，对付；抓住
legislation	 n. 立法
estate	 n. 房地产；财产
interrogate	 v. 询问，审问
plummet	 v. 骤然跌落
roll	 n&v. 滚动；卷；隆隆声
assimilate	 v. 同化；吸收
harsh	 adj. 粗糙的；严厉的
recall	 vt&n. 召回；回忆
electronics	 n. 电子学(单数)
abbreviation	 n. 缩略语
flee	 v. 逃走
numb	 adj. 麻木的，失去知觉的
crude	 adj. 天然的，粗鲁的，粗制的
metropolitan	 adj. 大城市的，大都市的
notable	 n. 名人；显要人物 adj. 显著的；著名的
treble	 adj. 三倍(重)的
propagate	 vt&vi. 繁殖；增殖；传播，宣传
converge	 v. 会聚，集中
compel	 v. 强迫，迫使
pointed	 adj. 尖锐的；率直的
swarm	 n. (昆虫)等一大群 v. 成群飞舞；蜂拥而入
shrewd	 adj. 敏锐的，精明的，准确的
abolish	 v. 废除
imitate	 v. 模仿，模拟，看似
waggon	 n. 货车
definitive	 adj. 决定的，明确的；最后的
imminent	 adj. 迫近的，紧迫的
dispute	 v&n. 争论，争执，质疑
horticulture	 n. 园艺
semblance	 n. 外貌，外表
impair	 v. 损害，削弱
dismay	 n&vt. 灰心丧气；惊愕
dash	 n&v. 撞击；冲，短跑；破折号；闯劲
outlying	 adj. 远离中心的，偏僻的
catching	 adj. 传染性的
deter	 v. 阻止，使不敢，吓住
influx	 n. 汇集，流入
deplore	 "vt. 哀悼, 非难"
pathos	 n. 引起怜悯的因素
namely	 adv. 即；也就是
relinguish	 vt. 放弃；撤回
sole	 n. 脚底 adj. 单独的；惟一的
thaw	 vt&vi. (冰雪)融化；使变得友善 n. 解冻
fling	 v&n. 掷，抛；猛烈地移动；投入
sufficient	 adj. 足够的，充分的
morality	 n. 道德，美德；伦理体系
shave	 v&n. 剃；刮
liaison	 n. 联络
flip	 v. 把往上抛，掷，抽打 v. 用指轻弹
shear	 v. 剪
hover	 v. (鸟)盘旋，翱翔，(人)逗留在附近徘徊
wax	 n. 蜡，蜂蜡 v. 上蜡
gaily	 adv. 快乐地，娱乐地
slide	 n. 滑；幻灯片 v. 滑动
lump	 n. 团，块，肿块 v. 合在一起，结块
inspection	 n. 检查；审视，检阅
arena	 n. 竞技场，比赛场所
economical	 adj. 节约的
magnetic	 adj. 有磁性的，有吸引力的
fluff	 n. (织物上的)绒毛 v. 抖开，抖松
cashier	 n. 出纳员
maiden	 n. (文学)少女，未嫁女人 adj. 未婚女子的
startle	 v. 使大吃一惊
chill	 n&a&v. 寒冷，扫兴的，(使)感冒
reserve	 n&vt. 保存；预定
substitute	 n. 代替人，代用品 v. 代替
auditorium	 n. 会堂；礼堂
esteem	 n&vt. 尊重，珍重
creation	 n. 创作，创造，创造物
manifest	 adj. 明白的，明显的 v. 显示，出现
confer	 v. 授予(称号，学位等)；协商
underneath	 prep&ad. 在下面，在底下
hoist	 v. 升起，扯起，向上推 n. 起重机，升降机
capacity	 n. 容量；容积；理解力；地位；资格
fuel	 n. 燃料；刺激感情之物 v. 供给燃料
incidentally	 adv. 偶然地，顺便地
giggle	 v&n. 咯咯地笑，傻笑
escort	 n. 护卫者；护航舰 v. 护送，护卫
lottery	 n. 彩票
retain	 v. 保持，保有；聘请(律师)
undercharge	 n. 潜流；(思想，情绪)暗流
synonym	 n. 同义词
turf	 n. 草地，草皮
owe	 v. 欠债；感激；由于
deplete	 v. 耗尽，用尽
fort	 n. 要塞; 堡垒
delude	 v. 欺骗；哄骗
ingenious	 adj. 机灵的；制作精巧的，灵巧的
compare	 v. 比较，对照；喻为
inland	 adj. 内地的，内陆的 adv. 在内地，向内地
suppress	 v. 镇压；平定；抑制；隐瞒
terror	 n. 恐怖
procedure	 n. 过程，步骤
pretext	 n. 借口
flap	 n&v. 拍打，挥动，垂下物；袋盖；慌乱
obsolete	 adj. 已废弃的，过时的
deliberate	 adj. 故意的，从容的 v. 仔细考虑
oath	 n. 誓言，誓约
depletion	 n. 取尽，用尽
forecast	 vt&n. 预测，预报
sore	 adj. 疼痛的；恼火的
metric	 adj. 十进制的，公制的
plead	 vt&vi. 辩护；提出为理由
wrench	 n&vt. 猛扭，猛拉
surgeon	 n. 外科医生
compensation	 n. 赔偿
reference	 n. 证明；出处；参照
huddle	 v. 挤作一团，乱堆 n. 一堆，一团
dock	 n. 船坞；码头；刑事被告席 v. 引入船坞
eccentric	 n&a. 古怪(的)，偏执(的)，不同心(的)
indefinite	 adj. 模糊的，不明确的，无定限的
coverage	 n. 承保险别；新闻报道(范围)；保证金
stationary	 adj. 固定的，定置的；不变动的，不移动的
maximum	 n. 最大量；最大限度
edit	 v. 编辑，剪辑
somehow	 adv. 以某种方式
obstinate	 adj. 顽固的，倔强的，不易屈服的，较难治愈的
string	 n. 线，细绳；弦
day	 n. 白天，一天
numerous	 adj. 许许多多的
resignation	 n. 辞职书；放弃；听从，顺从
laden	 adj. 装满的，载满的
instinct	 n. 本能
end	 n&v. 末端，尽头，结束
extinct	 adj. 消灭了的，熄灭了的，绝种的
theme	 n. 题目；主题
prologue	 n. 序言；开端
diagram	 n. 图解
fitting	 adj. 适合的，恰当的 n. 试衣；建筑物中的装置
install	 v. 任命；安装，安置
dilute	 v. 使变淡，稀释 adj. 稀释的
storey	 n. 房屋的一层
odds	 n. 可能，机会
swirl	 vt&vi. 打旋，旋动
reassure	 v. 使放心，使消除疑虑
casualty	 n. 伤亡人员
match	 n. 火柴；比赛；对手；婚姻;相称v相当,相配
decade	 n. 十年
exceed	 v. 比大，超出
tutor	 n. 私人教师；[英]大学导师
proximity	 n. 最近，接近
cosmopolitan	 adj. 全世界的，世界主义的
Christian	 a&n. 基督教的；基督教徒
catalyst	 n. 催化剂；造成变化的人或事
consign	 v. 运送；交付
lease	 v. 出租 n. 租约
wane	 v. 月亮变小，月亏；衰退
quota	 n. 配额，限额(进口及移民人数)
depress	 v. 降低，使沮丧；使萧条
clarify	 v. 澄清，使液体清洁
extreme	 adj. 极度的，尽头的 n. 极端，相反的性质
radar	 n. 雷达
pertain	 v. 附属；有关
given	 adj. 假设的；约定的；同意的
seismic	 adj. 地震的，地震强度的
summit	 n. 顶点，高峰；峰会(最高级会谈)
nautical	 adj. 航海的，船舶的，海员的
licence	 n. 许可，特许，执照；放纵
target	 n. 靶，标；批评对象；指标
analytical	 adj. 分析的；分解的
jerk	 n&v. 急动，急停
rescue	 vt&n. 援救；营救
couch	 n. 长沙发 v. 表达
strategic	 adj. 战略的，战略方针的
impulse	 n. 推动，冲力，冲动
ultraviolet	 adj. 紫外线的
melodious	 adj. 音调悦耳的，旋律的
crucial	 adj. 决定性的；紧要关头的
commodity	 n. 日用品，商品
conceive	 v. 想出(主意)；怀孕
monopoly	 n. 垄断，专卖权
weird	 adj. 怪诞的；离奇的，古怪的；超自然的
stereotype	 n. 典型的榜样，样本
smooth	 adj. 光滑的；平稳的 v. 使光滑；使平稳
clumsy	 adj. 笨拙的；愚笨的
portable	 adj. 手提式的，便携式的
voltage	 n. 电压
nuisance	 n. 麻烦事，讨厌的人
intensify	 v. 加强; 加剧
retrieve	 vt&vi. 再获得；挽回；挽救
fist	 n. 拳头
twinkle	 v. 闪烁，闪耀；闪闪发光
orchestra	 n. 管弦乐队
conform	 v. 遵从，符合
fallible	 adj. 易犯错误的，错误难免的
fatigue	 n&vt. 疲劳，(金属)疲劳，杂役
practitioner	 n. 实践者，从事者；(医生或律师等)开业者
Catholic	 n. 天主教教徒
comedy	 n. 喜剧；一出喜剧，喜剧性事件
originate	 v. 发生，发起；发明
allocate	 v. 分配，配给
junior	 n. 较年幼者 adj. 较年幼的，等级较低的
cupboard	 n. 碗橱
moped	 n. 机动脚踏车
plus	 prep&n. 加，加号 adj. 正的
optimism	 n. 乐观，乐观主义
embody	 v. 体现；使具体化
wedge	 n. 楔子，楔形物 v. 挤进；把楔住
ceremony	 n. 典礼，仪式；礼节
suicide	 n. 自杀
swear	 vt&vi. 郑重地说；强调；发誓
considerable	 adj. 相当大的；重要的
judicial	 adj. 法庭(官)的, 审判的 "
catastrophe	 n. 大灾难，大祸
hose	 n. 输水软管；长统袜 v. 浇园子，用管冲洗
minimum	 "n. [pl~s,-ma]最少量；最低限度"
domestic	 adj. 家的，家庭的，本国的 n. 佣人
deficit	 n. 空额，赤字
leave	 v. 离开，遗忘；保持一定状态；留下
abuse	 n&vt. 滥用；恶习；辱骂
feature	 n&vt. 脸一部分，面貌，特征，特写，故事片
escalator	 n. 自动扶梯
domain	 n. 领土，领域，范围
expand	 v. 使扩大，展开，膨胀
corresponding	 adj. 一致的，相同的，相应的
deem	 v. 认为，视为
passion	 n. 激情
flour	 n. 面粉
collision	 n. 碰，幢;冲突
ascribe	 v. 归因于，把归于
infest	 v. 大批出动，成群出现(鼠类及害虫)
intervene	 v. 插入，介入，干涉，(时间)介于
rectify	 v. 纠正；矫正
temptation	 n. 引诱，诱惑
smash	 vt&vi. 打碎；打破；击溃
explosive	 n&a. 爆炸(的)，爆发性(的)
coach	 v. 辅导，训练 n. 长途汽车；教师；教练
induce	 v. 导致；引起
curb	 n&v. 勒马的皮带；控制，约束
untold	 adj. 数不清的，无数的
predisposition	 n. 倾向，趋势，偏好
climax	 n. 顶点；小说等的高潮 v. 达到高潮
remedy	 n. 治疗，补救；纠正
archives	 n. (pl)档案室
magnificent	 adj. 宏伟的，壮丽的
toil	 v. 辛劳工作，艰难地行动 n. 苦工，难事
mortal	 adj. 必有一死的；致命的；极大的 n. 致命性
flutter	 v&n. 振翼，颤动，(心脏)不规则跳动
obscure	 "a. 暗的，不清楚的；费解的vt使阴暗,使难解 adj. "
deposit	 n&vt. 存款；定金；沉淀，沉积
dignity	 n. 高贵，尊贵，高位
lucrative	 adj. 有利的，赚钱的
hint	 n&v. 暗示，提示
resilience	 n. 回弹，弹性
sequence	 n. (事件、观念等的)系列；顺序；关联
aptitude	 n. 才能；能力
scrap	 n. 碎片，碎屑；少许，少量
asset	 n. 财产，资产
throng	 n. 人群，群众 v. 拥挤，群集
postmortem	 n&a. ，验尸，尸体解剖；事后的，死后的
time	 n. 时间
elsewhere	 adv. 在别处，向别处
monologue	 n. 戏剧的独白；滔滔不绝
property	 n. 财产；房产；性质
displace	 v. 转移，取代
identical	 adj. 同一的，完全相似的
gorgeous	 adj. 华丽的，灿烂的；宜人的；可喜的
withstand	 v. 抵抗，反抗
deluge	 n&vt. 洪水，暴雨；使泛滥
immerse	 v. 沉浸，沉浸于
glorious	 adj. 辉煌的；壮丽的，光荣的
sponge	 n. 海绵(状物)，松糕
glimpse	 n&vt. 一瞥，匆匆一看
consult	 v. 请教；咨询，查阅
humdrum	 adj. 单调的，枯燥的
crown	 n. 王冠，王权；顶部 v. 为加冕；褒奖
trend	 n. 倾向，趋势
stretch	 vt&vi. 伸长，拉长；滥用，曲解 n. 伸展
pollinate	 v. 授以花粉
article	 n. 物品；文章；条款；[语]冠词
haven	 n. 安全处所，避难所
adopt	 v. 收养；采用
protrude	 vt&vi. 突出；伸出
chapel	 n. 小教堂；殡仪馆
fake	 n. 假货，骗子 v. 伪造
moist	 adj. (表面)潮湿的，湿润的
regardless	 adj. 不注意的，不顾的
slate	 n. 板岩，石板
glow	 n. 光辉 v. 发白热光；脸发红发热
federation	 n. 联邦, 联盟, 同盟 "
cunning	 n&a. 狡猾(的)，精巧(的)
gust	 n. 阵风，(感情的)迸发
chore	 n. 日常工作；琐碎烦人的杂务
absurd	 adj. 可笑的，荒谬的
surge	 v. 波动，汹涌，澎湃
survival	 n. 幸存者，残存；幸存
ignite	 v. 点燃，使燃烧
gigantic	 adj. 巨大的；庞大的
prospect	 n. 景色；前景
term	 n. 期；学期；条件
refrain	 v. 抑制
equator	 n. 赤道
slam	 v&n. 砰地关上；猛击
render	 v. 提供，报答；表演，演奏；翻译
whatever	 adj. 任何的，无论什么样的
steer	 n. 驾驶
affection	 n. 友好；爱情
hold	 n&v. 握，抓；支持；装得下；认为；举行
lull	 v. 使安静，变平静 n. 间歇
invaluable	 adj. 无价的, 无法估价的 "
plagiarize	 v. 剽窃，抄袭（别人学说、著作）
acid	 adj. 酸的；尖刻的 n. 酸
mutual	 adj. 相互的，共有的，共同的
publicity	 n. 公开，宣传
grate	 n. 火炉，炉格 v. 擦碎，磨碎；擦响
administer	 v. 管理，支配；给予
restrain	 v. 限制，约束
martial	 adj. 战争的；军事的
veil	 n. 面纱；掩饰物
inflation	 n. 通货膨胀
previous	 adj. 先前的
eclipse	 n&v. [天](日，月)蚀
scarcely	 adv. 仅仅，几乎不
platitude	 n. 陈词滥调
incentive	 n. 鼓励，激励，动机
mire	 n. 泥泞，沼泽地
dispel	 v. 驱逐，消除
eternal	 adj. 永久的，不朽的，不停的
stake	 n. 木桩；赌注；利害关系
harmony	 n. 一致，协调，和声
whilst	 conj. =while 当. 时候
literally	 adv. 照字义地，逐字地
ascertain	 v. 查明，探查
paralysis	 n. 麻痹，瘫痪；完全无力
timely	 adj. 及时的；适时的
worship	 n. 礼拜；崇拜
idiom	 n. 习语，成语
safeguard	 v. 保护；维护
trumpet	 n. 喇叭(声)
spill	 vt&vi. (使)溢出，(使)溅出
eddy	 n&v. 漩涡
spectator	 n. 旁观者，观众
spectrum	 n. 系列；光谱
ammunition	 n. 弹药
condolence	 n. 吊唁，慰问；吊慰
indigenous	 adj. 土生土长的，本土的
constitute	 v. 组成; 构成; 任命
spouse	 n. (法律)配偶
plateau	 n. 高原
implicit	 adj. 含蓄的，暗示的，无保留的
vegetarian	 n. 素食者
genetic	 adj. 遗传学的；发生的
legitimate	 adj. 合法的，合理的
wisdom	 n. 智慧，才智；明智的思想言论
retort	 v&n. 反驳，反击
adjust	 v. 校准，调整
motel	 n. 汽车旅馆
tendency	 n. 趋向，趋势
lunar	 adj. 月的，似月的
extend	 v. 伸出，延长；给予；扩大
journalist	 n. 记者，新闻工作者
apologetic	 adj. 表示歉意的
contradiction	 n. 矛盾，对立
meticulous	 adj. 谨小慎微的；过细的
anyhow	 adv. 不论用何种方法；无论如何
draft	 n. 草稿；汇票；征兵 v. 起草；征兵
forerunner	 n. 前征，先驱
repetition	 n. 重复
emigrate	 v. 移居国外
stuffing	 n. 填料，填充物，填充剂
novel	 adj. 新奇的 n. 小说
observance	 n. (法律习俗等)遵守；奉行；礼仪，仪式
intellectual	 n. 知识分子 adj. 智力的，理智的，有理解力的
laundry	 n. 洗衣店，要洗的东西
indemnity	 n. 保障，保护；赔偿
concentrate	 v. 集中，全神贯注于；浓缩 n. 浓缩物
impart	 v. 告知，透露，给予
qualitative	 adj. 质的，定性的
exclusive	 adj. 孤傲的；不愿吸收新会员的；索价高昂的
somewhat	 adv. 有点儿
appeal	 vi&n. 呼吁，上诉；吸引(力)
even	 adv. 甚至还 adj. 平的，双数的 v. 使平坦
intricate	 adj. 复杂的，错综的
outfit	 n. 装备，全部用品
continuity	 n. 继续性
expenditure	 n. 支出，花费，消费量
sauce	 n. 调味汁，酱油；莽撞，冒失
impact	 n. 碰撞，撞击，撞击力
personality	 n. 个性；(有名的)人物
inhabitant	 n. 居民
hardy	 adj. 勇敢的，果断的，吃苦的
vessel	 n. 容器；船
convention	 n. 会议，协定；惯例；习俗
coupon	 n. 证明持券人有某种权利的卡片，票证，赠券
grim	 adj. 严格的，严厉的
groa	 n v&n. 呻吟，呻吟着表示;承受重压发出的声音
invest	 v. 投资，购买；授予
crumble	 v. 弄碎，灭亡，消失
overhaul	 v. 彻底检修；赶上
commend	 v. 委托保管；称赞
peculiar	 adj. 特殊的
commonwealth	 n. 全体国民；联邦
deceive	 v. 欺骗，诓骗
lax	 adj. 疏忽的，不严格的
default	 vi&n. 拖欠，违约；不出庭
monitor	 n. 班长；监视器 v. 监听；监视
intermediate	 a&n. 中间的；中间物
nominal	 adj. 名义上的，有名无实的；极微的；象征性的
deadly	 adj. 致命的，殊死的 adv. 死一般地，非常
exterminate	 v. 灭绝，根除
contrast	 v. 使对比，形成对照 n. 明显的差别
presumably	 adv. 假定地；也许
conservatory	 n. 温室；公立艺术学校
embed	 v. 把嵌入，使扎根于社会，使深留脑中
available	 adj. 可获得的，可用的
arctic	 adj. 北极的 n. 北极
onlooker	 n. 旁观者
hinder	 v. 阻碍，阻止
relay	 n. 替班；转播；接力赛跑 n. 转播；传递
medieval	 adj. 中古的，中世纪的
commit	 v. 犯(罪);干(坏事)；把交托给
halt	 n&v. (途中)暂停，停止，终止 v. 犹豫
conservation	 n. 保存，保护
illustrate	 v. 举例或以图表说明，配以插图
function	 n. 职责，作用；正式社会集会 v. 起作用
scent	 n. 气味，香味；香水 v. 嗅出，闻到，怀疑有
entertainment	 n. 娱乐，招待，表演
pregnant	 adj. 怀孕的；意义深远的
invert	 v. 倒转，上下倒置
sturdy	 adj. 强健的，坚实的
spring	 v&n. 跳，发芽 n. 春季；泉；弹簧
scorch	 vt&vi. 烧焦，烤焦，枯萎
panorama	 n. 全景，全方位，整体效应
content	 n&a&vt. 满意(的)，满足(的)；使满意(足)
tar	 n. 焦油，沥青
migrate	 v. 迁移；移居
magnate	 n. 达官，显贵
deaf	 adj. 聋的；不愿听的
contribute	 v. 贡献；促成；投稿
remarkable	 adj. 不平常的；出色的
affect	 v. 影响
fellowship	 n. 交情；团体；奖学金
pester	 v. 烦扰，纠缠
frugal	 adj. 俭朴的，花钱少的
clamp	 n&v. 螺丝钳，用钳夹；取缔
masterpiece	 n. 杰作；名著
cultivate	 v. 耕作; 培养
split	 vt&vi. 劈开，使裂开；分离
concession	 n. 让步，让与物
idle	 adj. 闲着的，空闲的；懒的；无根据的 v. 虚度
pragmatic	 adj. 重实效的，实际的
dilemma	 n. 进退两难的境地，困境
lavish	 adj. 慷慨的，过度的，大量的
series	 n. 连续，系列
strait	 n. 海峡；困难，窘迫
sarcasm	 n. 讽刺，挖苦，嘲笑
sensitive	 adj. 敏感的；过敏的，容易生气的；仪器灵敏的
rely	 v. 依赖
enterprise	 n. 艰巨的事业；事业心，企业
garbage	 n. 垃圾，污物
postscript	 n. 信件中附笔，附言
segregate	 v. 隔开；分离
cylinder	 n. 圆桶，汽缸
surcharge	 n. 额外费用，过高的要价
ensue	 v. 跟着发生；结果是
pant	 v. 气喘，喘息；气喘吁吁地说
stern	 adj. 严厉的，严格的
steady	 adj. 稳定的，不变的
abstract	 adj. 抽象的 n. (书籍、演说等的)摘要
clue	 n. 线索
thorough	 adj. 彻底的；详尽的
alphabetical	 adj. 按字母表顺序的
democracy	 n. 民主，民主政体，民主社会
seep	 v. 液体渗出
distinction	 n. 差别，区分；卓著，荣誉
indicator	 n. 指示者，指示物
persevere	 v. 锲而不舍
literacy	 n. 识字，读写能力
affirm	 v. 断定，肯定
denounce	 v. 谴责，斥责
defect	 n. 缺点，欠缺 v. 背叛 n. 逃跑 n. 开小差
knit	 v. 编织；紧密结合
marvelous	 adj. 令人惊奇的；创造奇迹的
haunt	 v. 常去；(鬼，魂)常出没于 n. 常去的地方
preach	 vt&vi. 传教；讲道；劝诫；鼓吹
tariff	 n. (酒店)价目表；关税税率
prime	 adj. 主要的；最好的
mist	 n. 薄雾；朦胧
agony	 n. 极度痛苦
pick	 n. 镐；挑选；选择 vt&vi. 挑选；采
tournament	 n. 比赛，联赛
genius	 n. 天才，天才人物，才华
flicker	 vi&n. 闪烁，摇曳，闪现
hierarchy	 n. 等级制度
distinguish	 v. 区别，识别；使显赫
chamber	 n. 房间；议院；贸易团体；弹膛
credentials	 n. 信任状，证书
invigilate	 v. 监考
recover	 vt&vi. 重新找到；复原，痊愈
artillery	 n. 火炮，干线
ventilate	 v. 使空气流通；通风
reproach	 vt&n. 责备，指责
dump	 v. 倒垃圾，倾销 n. 堆垃圾的地方
volume	 n. 卷，容积；音量；大量
coalition	 n. 结合，联盟，联合
opening	 n. 口，孔；开始；张开；职位空缺
hit	 n. 打击，巨大的成功 v. 打，打击，打倒
substantiate	 v. 证实；证明
allege	 v. 断言；宣称
prescribe	 v. 吩咐使用
expend	 v. 消费，用尽
thoughtful	 adj. 深思的，关心的
poultry	 n. 家禽；家禽肉
cater	 v. 供应伙食；提供娱乐节目
