paragraph	 n. 段落；短评；段落符号 v. 将…分段
low	 adj. 低的，浅的；卑贱的；粗俗的；消沉的 adv. 低声地；谦卑地，低下地 n. 低；低价；低点；牛叫声 v. 牛叫
presence	 n. 存在；出席；参加；风度；仪态
match	 v. 使比赛；使相配；敌得过，比得上；相配；与…竞争 n. 比赛，竞赛；匹配；对手；火柴
parallel	 n. 平行线；对比 v. 使…与…平行 adj. 平行的；类似的，相同的
military	 adj. 军事的；军人的；适于战争的 n. 军队；军人
conflict	 n. 冲突，矛盾；斗争；争执 v. 冲突，抵触；争执；战斗
possibly	 adv. 可能地；也许；大概
addict	 n. 有瘾的人；入迷的人 v. 使沉溺；使上瘾
joy	 n. 欢乐，快乐；乐趣；高兴 v. 欣喜，欢喜
puzzle	 v. 使…困惑；使…为难；苦思而得出 n. 谜；难题；迷惑
draw	 v. 画；拉；吸引 n. 平局；抽签
drive	 v. 开车；猛击；飞跑 n. 驱动器；驾车；[心理] 内驱力，推进力；快车道
contrast	 v. 对比；形成对照 n. 对比；差别；对照物
background	 n. 背景；隐蔽的位置 v. 作…的背景 adj. 背景的；发布背景材料的
wall	 n. 墙壁，围墙；似墙之物 v. 用墙围住，围以墙 adj. 墙壁的
artist	 n. 艺术家；美术家（尤指画家）；大师
communication	 n. 通讯，[通信] 通信；交流；信函
combine	 v. 使化合；使联合，使结合 n. 联合收割机；联合企业
alphabet	 n. 字母表，字母系统；入门，初步
fight	 v. 打架；与…打仗，与…斗争；反对…提案 n. 打架；战斗，斗志
crisis	 n. 危机；危险期；决定性时刻 adj. 危机的；用于处理危机的
approve	 v. 批准；赞成；为…提供证据
agreement	 n. 协议；同意，一致
surprise	 n. 惊奇，诧异；突然袭击 v. 使惊奇；奇袭 adj. 令人惊讶的
imagine	 v. 想像；猜想；臆断
reliable	 adj. 可靠的；可信赖的 n. 可靠的人
collect	 v. 收集；募捐 adv. 由收件人付款地 adj. 由收件人付款的 n. (Collect)人名；(英)科莱克特
forget	 v. 忘记；忽略 n. (Forget)人名；(法)福尔热
supreme	 adj. 最高的；至高的；最重要的 n. 至高；霸权
strain	 n. 张力；拉紧；负担；扭伤；血缘 v. 拉紧；尽力
ready	 adj. 准备好；现成的；迅速的；情愿的；快要…的 n. 现款；预备好的状态 adv. 迅速地；预先 v. 使准备好
conservative	 adj. 保守的 n. 保守派，守旧者
consume	 v. 消耗，消费；使…著迷；挥霍
deny	 v. 否定，否认；拒绝给予；拒绝…的要求
trace	 v. 追溯；沿路走 n. 痕迹，踪迹；微量；[仪] 迹线；缰绳
engage	 v. 吸引，占用；使参加；雇佣；使订婚；预定
disappear	 v. 消失；失踪；不复存在
damage	 n. 损害；损毁；赔偿金 v. 损害；损毁
misery	 n. 痛苦，悲惨；不幸；苦恼；穷困
saving	 n. 节约；挽救；存款 adj. 节约的；挽救的；补偿的；保留的 prep. 考虑到；除之外
upset	 v. 使心烦；颠覆；扰乱 adj. 心烦的；混乱的；弄翻的 n. 混乱；翻倒；颠覆
chief	 n. 首领；酋长；主要部分 adj. 首席的；主要的；主任的 adv. 主要地；首要地
captive	 adj. 被俘虏的；被迷住的 n. 俘虏；迷恋者
opinion	 n. 意见；主张
understanding	 n. 谅解，理解；理解力；协议 adj. 了解的；聪明的；有理解力的 v. 理解；明白（understand的ing形式）
purchase	 n. 购买；紧握；起重装置 v. 购买；赢得
capable	 adj. 能干的，能胜任的；有才华的
gap	 n. 间隙；缺口；差距；分歧 v. 裂开
remains	 n. 残余；遗骸
staff	 n. 职员；参谋；棒；支撑 adj. 职员的；行政工作的 v. 供给人员；给…配备职员
atmosphere	 n. 气氛；大气；空气
judge	 v. 判断；审判 n. 法官；裁判员
characterize	 v. 描绘…的特性；具有…的特征
grape	 n. 葡萄；葡萄酒；葡萄树；葡萄色
confuse	 v. 使混乱；使困惑
meaning	 n. 意义；含义；意图 adj. 意味深长的 v. 意味；意思是（mean的ing形式）
building	 n. 建筑；建筑物 v. 建筑；建立；增加（build的ing形式）
recruit	 n. 招聘；新兵；新成员 v. 补充；聘用；征募；使…恢复健康
failure	 n. 失败；故障；失败者；破产
blame	 v. 责备；归咎于 n. 责备；责任；过失
definition	 n. 定义；[物] 清晰度；解说
uniform	 adj. 统一的；一致的；相同的；均衡的；始终如一的 n. 制服 v. 使穿制服；使成一样
hotel	 n. 旅馆，饭店；客栈 vt. 使…在饭店下榻 vi. 进行旅馆式办公
intelligent	 adj. 智能的；聪明的；理解力强的
bias	 n. 偏见；偏爱；斜纹；乖离率 v. 使存偏见 adj. 偏斜的 adv. 偏斜地
option	 n. [计] 选项；选择权；买卖的特权
date	 n. 日期；约会；年代；枣椰子 v. 过时；注明日期；始于（某一历史时期）
description	 n. 描述，描写；类型；说明书
peculiar	 adj. 特殊的；独特的；奇怪的；罕见的 n. 特权；特有财产
maintain	 v. 维持；继续；维修；主张；供养
eliminate	 v. 消除；排除
truth	 n. 真理；事实；诚实；实质
historian	 n. 历史学家
attempt	 n. 企图，试图；攻击 v. 企图，试图；尝试
birth	 n. 出生；血统，出身；起源
topic	 n. 主题（等于theme）；题目；一般规则；总论
piece	 n. 块；件；篇；硬币 v. 修补；接合；凑合
complete	 adj. 完整的；完全的；彻底的 v. 完成
exclude	 v. 排除；排斥；拒绝接纳；逐出
energy	 n. [物] 能量；精力；活力；精神
entertain	 v. 娱乐；招待；怀抱；容纳
gain	 n. 增加；利润；收获 v. 获得；增加；赚到
attractive	 adj. 吸引人的；有魅力的；引人注目的
shut	 v. 关闭；停业；幽禁 n. 关闭 adj. 关闭的；围绕的
rose	 n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒 adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的 vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味 vi. 起义( rise的过去式)；升起；（数量）增加；休会
cucumber	 n. 黄瓜；胡瓜
procedure	 n. 程序，手续；步骤
decide	 v. 决定；解决；判决
editor	 n. 编者，编辑；社论撰写人；编辑装置
survive	 v. 幸存；生还；幸免于；比活得长
demonstrate	 v. 证明；展示；论证
academic	 adj. 学术的；理论的；学院的 n. 大学生，大学教师；学者
economics	 n. 经济学；国家的经济状况
characteristic	 adj. 典型的；特有的；表示特性的 n. 特征；特性；特色
convince	 v. 说服；使确信，使信服
material	 adj. 重要的；物质的，实质性的；肉体的 n. 材料，原料；物资；布料
tree	 n. 树；木料；树状物 v. 把赶上树
oppose	 v. 反对；对抗，抗争
reward	 n. [劳经] 报酬；报答；酬谢 v. [劳经] 奖励；奖赏
ideal	 adj. 理想的；完美的；想象的；不切实际的 n. 理想；典范
initial	 adj. 最初的；字首的 v. 用姓名的首字母签名 n. 词首大写字母
cater	 v. 投合，迎合；满足需要；提供饮食及服务 n. (Cater)人名；(英)凯特
profession	 n. 职业，专业；声明，宣布，表白
compete	 v. 竞争；比赛；对抗
advanced	 adj. 先进的；高级的；晚期的；年老的 v. 前进；增加；上涨（advance的过去式和过去分词形式）
basis	 n. 基础；底部；主要成分；基本原则或原理
mislead	 v. 误导；带错
confront	 v. 面对；遭遇；比较
entire	 adj. 全部的，整个的；全体的 n. (Entire)人名；(英)恩泰尔
contrary	 adj. 相反的；对立的 adv. 相反地 n. 相反；反面
practical	 adj. 实际的；实用性的
vary	 v. 变化；变异；违反 n. (Vary)人名；(英、法、罗、柬)瓦里
pursue	 v. 继续；从事；追赶；纠缠
temporary	 adj. 暂时的，临时的 n. 临时工，临时雇员
dramatic	 adj. 戏剧的；急剧的；引人注目的；激动人心的
vulnerable	 adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
represent	 v. 代表；表现；描绘；回忆；再赠送
invention	 n. 发明；发明物；虚构；发明才能
plenty	 n. 丰富，大量；充足 adj. 足够的，很多的 adv. 足够
gather	 v. 收集；收割；使…聚集；使…皱起 n. 聚集；衣褶；收获量
civil	 adj. 公民的；民间的；文职的；有礼貌的；根据民法的 n. (Civil)人名；(土)吉维尔；(法)西维尔
criminal	 n. 罪犯 adj. 刑事的；犯罪的；罪恶的
brand	 v. 铭刻于，铭记；打烙印于；印…商标于 n. 商标，牌子；烙印
boom	 v. 使兴旺；发隆隆声 n. 繁荣；吊杆；隆隆声
systematic	 adj. 系统的；体系的；有系统的；[图情] 分类的；一贯的，惯常的
substantial	 adj. 大量的；实质的；内容充实的 n. 本质；重要材料
opening	 n. 开始；机会；通路；空缺的职位 adj. 开始的 v. 开放（open的ing形式）；打开；公开
interesting	 adj. 有趣的；引起兴趣的，令人关注的
component	 adj. 组成的，构成的 n. 成分；组件；[电子] 元件
refuse	 n. 垃圾；废物 v. 拒绝；不愿；抵制
medicine	 n. 药；医学；内科；巫术 v. 用药物治疗；给…用药
pleasure	 n. 快乐；希望；娱乐；令人高兴的事 vt. 使高兴；使满意 vi. 高兴；寻欢作乐
team	 n. 队；组 v. 使合作
goods	 n. 商品；动产；合意的人；真本领
modify	 v. 修改，修饰；更改
sport	 n. 运动；游戏；娱乐；运动会；玩笑 v. 游戏 adj. 运动的
vote	 n. 投票，选举；选票；得票数 v. 提议，使投票；投票决定；公认
dose	 n. 剂量；一剂，一服 v. 服药
wear	 n. 衣物；磨损；耐久性 v. 穿着；用旧；耗损；面露
theme	 n. 主题；主旋律；题目 adj. 以奇想主题布置的
north	 n. 北，北方 adj. 北方的；朝北的 adv. 在北方，向北方
leadership	 n. 领导能力；领导阶层
gift	 n. 礼物；天赋；赠品 v. 赋予；向…赠送
liberal	 adj. 自由主义的；慷慨的；不拘泥的；宽大的 n. 自由主义者
conservation	 n. 保存，保持；保护
round	 n. 圆；循环；一回合；圆形物 adj. 圆的；完全的；大概的；肥胖的 adv. 在周围；迂回地；朝反方向；挨个 v. 完成；围捕；绕行；弄圆 prep. 附近；绕过；大约；在…周围
insist	 v. 坚持，强调
object	 n. 目标；物体；客体；宾语 v. 提出…作为反对的理由
token	 n. 表征；代币；记号 adj. 象征的；表意的；作为对某事的保证的 vt. 象征；代表
active	 adj. 积极的；活跃的；主动的；有效的；现役的 n. 主动语态；积极分子
gradual	 adj. 逐渐的；平缓的 n. 弥撒升阶圣歌集
diverse	 adj. 不同的；多种多样的；变化多的
club	 n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花 v. 用棍棒打；募集 adj. 俱乐部的
grammar	 n. 语法；语法书
narrow	 adj. 狭窄的，有限的；勉强的；精密的；度量小的 n. 海峡；狭窄部分，隘路 v. 使变狭窄
appointment	 n. 任命；约定；任命的职位
male	 adj. 男性的；雄性的；有力的 n. 男人；雄性动物
transaction	 n. 交易；事务；办理；会报，学报
creative	 adj. 创造性的
behalf	 n. 代表；利益
talent	 n. 才能；天才；天资
subtle	 adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
prior	 adj. 优先的；在先的，在前的 adv. 在前，居先 n. (Prior)人名；(法、西、葡、捷)普里奥尔；(英)普赖尔；(意)普廖尔
duty	 n. 责任；[税收] 关税；职务
application	 n. 应用；申请；应用程序；敷用
print	 n. 印刷业；印花布；印刷字体；印章；印记 v. 印刷；打印；刊载；用印刷体写；在…印花样
forward	 adj. 向前的；早的；迅速的 adv. 向前地；向将来 v. 促进；转寄；运送 n. 前锋
notice	 n. 通知，布告；注意；公告 v. 通知；注意到；留心
fun	 n. 乐趣；玩笑；有趣的人或事 adj. 供娱乐用的 vi. 开玩笑
fortune	 n. 财富；命运；运气 vt. 给予财富 vi. 偶然发生
rich	 adj. 富有的；肥沃的；昂贵的 n. (Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什
safety	 n. 安全；保险；安全设备；保险装置；安打
notion	 n. 概念；见解；打算
prospect	 n. 前途；预期；景色 v. 勘探，找矿
juvenile	 adj. 青少年的；幼稚的 n. 青少年；少年读物
fulfill	 v. 履行；实现；满足；使结束（等于fulfil）
explore	 v. 探索；探测；探险
enable	 v. 使能够，使成为可能；授予权利或方法
solution	 n. 解决方案；溶液；溶解；解答
affair	 n. 事情；事务；私事；（尤指关系不长久的）风流韵事
slow	 adj. 慢的；减速的；迟钝的 v. 变慢；变萧条 adv. 慢慢地；迟缓地 n. (Slow)人名；(英)斯洛
aware	 adj. 意识到的；知道的；有…方面知识的；懂世故的 n. (Aware)人名；(阿拉伯、索)阿瓦雷
ticket	 n. 票；入场券，标签；（美）候选人名单；证明书；交通罚款单 v. 加标签于；指派；对…开出交通违规罚单
immune	 adj. 免疫的；免于……的，免除的 n. 免疫者；免除者
phrase	 n. 短语, 习语, 措辞, 乐句 v. 措词, 将(乐曲)分成乐句
leading	 adj. 领导的；主要的 n. 领导；铅板；行距 v. 领导（lead的ing形式）
expand	 v. 扩张；使膨胀；详述
tip	 v. 给小费；翻倒；倾覆 n. 小费；尖端；小建议，小窍门；轻拍
propose	 v. 建议；打算，计划；求婚
budget	 n. 预算，预算费 v. 安排，预定；把…编入预算 adj. 廉价的
die	 v. 死亡；凋零；熄灭 n. 冲模，钢模；骰子
transform	 v. 改变，使…变形；转换
join	 v. 参加；结合；连接 n. 结合；连接；接合点
priority	 n. 优先；优先权；[数] 优先次序；优先考虑的事
dominate	 v. 控制；支配；占优势；在…中占主要地位
