a	 art. 一(个)；每一(个)
rhythm	 n. 韵律，格律；节奏
rib	 n. 肋，肋骨
ribbon	 n. 缎带，丝带；带
rid	 v. 使摆脱，使去掉
ridge	 n. 脊；岭，山脉；垄
ridiculous	 adj. 荒谬的，可笑的
rifle	 n. 步枪，来复枪
rigid	 adj. 刚硬的；僵硬的
ripe	 adj. 熟的；时机成熟的
risk	 n. 风险，危险，冒险
rival	 n. 竞争者 adj. 竞争的
roar	 v. 吼叫；呼喊 n. 吼
roast	 vt&vi. 烤，炙，烘
robot	 n. 机器人；自动机
rocket	 n. n. n. 火箭，火箭发动机
rod	 n. 杆，竿，棒
roll	 vi&vt. 滚动；转动
roller	 n. 滚柱，滚筒，滚轴
Roman	 n. 古罗马人 adj. 罗马的
romantic	 adj. 浪漫的；传奇的
rotary	 adj. 旋转的，转动的
rotate	 v. 旋转 v. 使旋转
rotation	 n. 旋转，转动；循环
rotten	 adj. 腐烂的，发臭的
rough	 adj. 表面不平的；粗略的
rouse	 v. 唤醒，唤起；惊起
route	 n. 路，路线，路程
routine	 n. 例行公事 adj. 日常的
row	 n. (一)排，(一)行
royal	 adj. 王的；皇家的
rug	 n. 小地毯；毛毯
rural	 adj. 农村的，田园的
rush	 v. 冲，奔 v. 催促
rust	 n. 锈 v. 生锈，氧化
sack	 n. 袋，麻袋；开除
sacrifice	 n&vt. 牺牲；南祭
saddle	 n. 鞍子，马鞍
sail	 n. 帆；船 v. 航行
sake	 n. 缘故，理由
sample	 n. 样品；实例，标本
satellite	 n. 卫星；人造卫星
satisfactory	 adj. 令人满意的，良好的
saucer	 n. 茶托，浅碟
sausage	 n. 香肠，腊肠
saw	 n. 锯子 v. 锯，锯开
say	 v. 比如说[用于举例]
scale	 n. 天平，磅秤，秤
scan	 v. 细看；浏览；扫描
scarcely	 adv. 仅仅；几乎不
scatter	 v. 使消散；撒；散播
scenery	 n. 舞台布景；风景
schedule	 n. 时间表；计划表
scheme	 n. 计划，规划；诡计
scholar	 n. 学者(尤指文学方面)
scientific	 adj. 科学(上)的
scissors	 n. 剪刀，剪子
score	 n. 得分，比数，成绩
scout	 n. 侦察员，侦察机
scrape	 vt&vi&n. 刮，擦
scratch	 vt&vi&n. 搔；抓
screw	 n. 螺旋，螺丝 v. 拧紧
seal	 n. 封蜡；印记 v. 封
secondary	 adj. 第二的；次要的
secretary	 n. 秘书；书记；大臣
section	 n. 切片；一段；部门
secure	 adj. 安心的；安全的
security	 n. 安全，安全感
seed	 n. 种(子)，籽，萌芽
seek	 v. 寻找，探索；试图
seize	 v. 抓住，逮捕；夺取
semiconductor	 n. n. n. 半导体
senate	 n. 参议院，上院
senior	 adj. 年少的；地位较高的
sensible	 adj. 感觉得到的；明智的
sensitive	 adj. 敏感的；灵敏的
separate	 adj. 分离的；个别的
sequence	 n. 连续，继续；次序
series	 n. 连续，系列；丛书
serve	 vt. 为…服务；招待
session	 n. 会议，一段时间
setting	 n. 安装，调整；环境
settle	 v. 安排；安放；调停
settlement	 n. 解决；殖民，殖民地
severe	 adj. 严格的；严厉的
sew	 v. 缝制 v. 缝纫
shade	 n. 荫；遮光物 v. 荫蔽
shave	 v. 剃，刮 v. 修面
shear	 v. 剪；剥夺 v. 剪
shed	 vt. 流出；散发；脱落
sheet	 n. 被单；纸张；薄板
shelf	 n. 搁板，架子
shelter	 n. 隐蔽处；掩蔽，庇护
shield	 n. 盾；防护物 v. 保护
shift	 v. 替换，转移 n. 转换
shiver	 v. 颤抖，哆嗦 n. 冷颤
shoot	 v. 发射；射中 n. 发芽
shore	 n. 滨，岸
shortage	 n. 不足，缺少，不足额
shortly	 adv. 立刻；简短地
shot	 n. 发射；弹丸；射门
shower	 n. 阵雨；(一)阵；淋浴
shriek	 v. 尖声喊叫 n. 尖叫声
sideways	 adv. 斜着，斜向一边地
sightseeing	 n. 观光，游览
sign	 n. 符号；招牌 n. 签名
signal	 n. 信号 v. 发信号
signature	 n. 署名，签字，签名
significance	 n. 意义，意味；重要性
significant	 n. 有意义的；重要的
silence	 n. 沉默 v. 使沉默
silent	 adj. 沉默的；寂静无声的
silk	 n. 蚕丝，丝，丝织品
silly	 adj. 傻的，愚蠢的
silver	 n. 银；银子；银器
similar	 adj. 相似的，类似的
similarly	 adv. 类似地，相似地
simplicity	 n. 简单，简易；朴素
simplify	 v. 简化，使单纯
simply	 adv. 简单地；朴素地
sincere	 adj. 真诚的；真挚的
singular	 adj. 单一的；非凡的
site	 n. 地点，地基；场所
sketch	 n. 略图；速写；概略
skilled	 adj. 有技能的，熟练的
skillful	 adj. 灵巧的，娴熟的
skim	 v. 掠过，擦过；略读
slam	 v. 使劲关，砰地放下
sleeve	 n. 袖子，袖套
slender	 adj. 细长的；微薄的
slice	 n. 薄片，切片；部分
slide	 v. 滑 v. 使滑动 n. 滑
slippery	 adj. 滑的，使人滑跤的
slit	 n. 裂缝 v. 切开，撕开
slope	 n. 倾斜；斜面 v. 倾斜
smart	 adj. 巧妙的；洒脱的
soak	 v. 浸，泡 v. 浸泡
soil	 v. 弄脏 v. 变脏
solar	 adj. 太阳的，日光的
sole	 n. 脚底，鞋底，袜底
solemn	 adj. 庄严的；隆重的
solid	 adj. 固体的 n. 固体
soluble	 adj. 可溶的；可以解决的
solution	 n. 解决，解答；溶解
solve	 v. 解答，解释，解决
somebody	 pron. 某人，有人
somehow	 adv. 由于某种原因
sometime	 adv. 在某一时候；从前
somewhat	 pron. 一点儿 adv. 有点
sophisticated	 adj. 老于世故的；高级的
sore	 adj. 痛的；恼火的 n. 疮
sorrow	 n. 悲痛，悲哀，悲伤
sort	 n. 种类；类别 v. 整理
sound	 adj. 健康的；完好的
sour	 adj. 酸的；脾气坏的
sow	 v. 播(种) v. 播种
spacecraft	 n. 航天器，宇宙飞船
spade	 n. 铲，铁锹
span	 n. 跨距；一段时间
spare	 v. 节约 adj. 多余的
spark	 n. 火花， n. 火星
specialist	 n. 专家
specialize	 v. 成为…专家；专攻
specific	 adj. 特有的；具体的
specify	 v. 指定，详细说明
specimen	 n. 样本，标本，样品
sphere	 n. 球，圆体；范围
spill	 v. 使溢出 v. 溢出
spin	 v. 纺；使旋转 n. 旋转
spite	 n. n. n. 恶意,怨恨,不顾 n. vt. n. 刁难,欺侮
split	 v. 劈开 v. 被劈开
spoil	 v. 损坏，糟蹋；宠坏
sponsor	 n. 发起者 v. 发起
sportsman	 n. 运动员
spray	 n. 浪花；喷雾 v. 喷
spring	 v. 跳，跃 n. 跳跃；泉
spur	 n. 刺激物 v. 刺激
square	 n. 正方形；广场
squeeze	 vt&vi. 榨，挤；压榨
stability	 n. 稳定，稳定性，巩固
stable	 adj. 稳定的，不变的
stack	 n. 堆，垛 v. 堆积
staff	 n. 工作人员；参谋
stage	 n. 舞台；戏剧；阶段
stain	 v. 沾污；给…着色
stair	 n. 楼梯
stake	 n. 桩；赌金；奖品
stale	 n. 陈腐的；走了气的
static	 adj. 静的；静态的
statistical	 adj. 统计的，统计学的
statue	 n. 塑像，雕像，铸像
status	 n. 地位，身分
steady	 adj. 稳固的 v. 使稳定
steam	 n. 蒸汽 v. 蒸发 v. 蒸
steamer	 n. 轮船，汽船
steel	 n. 钢，钢铁
steep	 adj. 险峻的，陡峭的
steer	 vt&vi. 驾驶
stem	 n. 茎，(树)干 v. 起源
sticky	 adj. 粘性的；胶粘的
stiff	 adj. 硬的；僵直的
stimulate	 v. 刺激，激励，激发
sting	 v. 刺；刺痛 vi&n. 刺
stir	 v. 动；拨动；激动
stock	 n. 原料；库存品；股本
stocking	 n. 长(统)袜
stoop	 v. 俯身；弯身 n. 弯腰
storage	 n. 贮藏；贮藏量
store	 n. 贮藏；贮存品；商店
storey	 n. (层)楼
stove	 n. 炉，火炉，电炉
strain	 v. 拉紧 v. 尽力
strange	 adj. 陌生的；奇怪的
stranger	 n. 陌生人；新来者
strap	 n. 带子 v. 捆扎
strategy	 n. 战略；策略
straw	 n. 稻草，麦杆吸管
strengthen	 v. 加强，巩固
stress	 n. 压力；重音 v. 着重
stretch	 v. 伸展 v. 伸 n. 伸展
string	 n. 线，细绳；一串
strip	 v. 剥；夺去 n. 条带
stripe	 n. 条纹，条子
stroke	 n. 打，击；鸣声；中风
structural	 adj. 结构的，构造的
stuff	 n. 材料 v. 装，填，塞
submarine	 adj. 水下的 n. 潜水艇
submerge	 v. 浸没 v. 潜入水中
submit	 v. 使服从 v. 服从
subsequent	 adj. 随后的，后来的
substance	 n. 物质；实质；本旨
substantial	 adj. 物质的；坚固的
substitute	 n. 代替人 v. 用…代替
subtract	 v. 减，减去，去掉
subway	 n. 地道；地下铁路
succession	 n. 连续；继任，继承
successive	 adj. 连续的；接连的
suck	 v. 吸，吮，啜；吸收
sufficient	 adj. 足够的，充分的
suit	 n. 起拆，诉讼 v. 适合
sulfur	 n. 硫(磺)，硫黄
sulphur	 n. 硫(磺)，硫黄
sum	 n. 总数；金额 v. 共计
summarize	 v. 概括，概述，总结
superficial	 adj. 表面的；肤浅的
superior	 adj. 较高的；优越的
supplement	 n&vt. 增补，补充
suppose	 v. 猜想；假定；让
supreme	 adj. 最高的；最大的
surgery	 n. 外科，外科手术
surrender	 v. 交出 v. 投降
surroundings	 n. 周围的事物，环境
survey	 v. 俯瞰；检查；测量
survive	 v. 幸免于 v. 活下来
suspect	 v. 怀疑 v. 疑心
suspend	 v. 吊，悬；推迟
suspicion	 n. 怀疑，疑心，猜疑
suspicious	 adj. 怀疑的；可疑的
sustain	 v. 支撑；供养；忍受
swallow	 n. 燕子
sway	 v. 摇动 v. 摇；摇动
swear	 v. 宣(誓) v. 诅咒
sweater	 n. 厚运动衫，毛线衫
sweep	 v. 扫；刮起；扫过
swell	 v. 膨胀；隆起；增长
swift	 adj. 快的；反应快的
swing	 v. 摇摆；回转 n. 摇摆
switch	 n. 开关；转换 v. 转换
sword	 n. 剑，刀
symbol	 n. 象征；符号，记号
sympathetic	 adj. 同情的；和谐的
sympathize	 v. 同情；同感，共鸣
synthetic	 adj. 综合的；合成的
systematical	 adj. 有系统的；有计划的
tag	 n. 附加语；标签
tailor	 n. 裁缝 v. 裁制衣服
tale	 n. 故事，传说
talent	 n. 天才；才能；人才
talk	 v. 讲话 v. 谈论
tame	 adj. 驯服的；顺从的
tank	 n. 坦克；大容器，槽
tap	 vt&vi&n. 轻叩
taste	 n. 味觉，品味
technical	 adj. 技术的，工艺的
technician	 n. 技术员，技师
tedious	 adj. 冗长乏味的，沉闷的
telegram	 n. 电报
telescope	 n. 望远镜
temple	 n. 圣堂，神殿，庙宇
temporary	 adj. 暂时的，临时的
tempt	 v. 引诱，诱惑；吸引
temptation	 n. 诱惑，引诱
tend	 v. 照管，照料，护理
tendency	 n. 趋向，趋势，倾向
tender	 adj. 嫩的；脆弱的
tense	 n. 时态，时
tension	 n. n. n. 紧张,不安,拉紧,张力
terminal	 adj. 末端的 n. 末端
terrible	 adj. 可怕的；极度的
territory	 n. 领土，版图；领域
terror	 n. 恐怖，惊骇
textile	 n. n. n. 纺织品 adj. 纺织的
theoretical	 adj. 理论(上)的
thereby	 adv. 因此，从而，由此
therefore	 adv. 因此，所以
thermometer	 n. 温度计，寒暑表
thickness	 n. 厚(度)；密(度)
thorough	 adj. 彻底的；详尽的
thoughtful	 adj. 沉思的；体贴的
thread	 n. 线；丝；螺纹；头绪
threat	 n. 威胁，恐吓，凶兆
threaten	 vt&vi. 威胁，恐吓
thrive	 v. 兴旺，繁荣，旺盛
throat	 n. 咽喉，喉咙；嗓音
throughout	 prep. 遍及 adv. 到处
thrust	 v. 插，刺 n. 插；讽刺
thunder	 n. 雷 v. 打雷 v. 吼出
thus	 adv. 如此，这样；因而
tide	 n. 潮，潮汐；潮流
tidy	 adj. 整洁的；整齐的
tin	 n. 锡；罐头
tip	 v. 轻击 v. 给小费
tire	 v. 疲劳，累；厌倦
tissue	 n. 薄绢；薄纸；组织
toast	 n. 烤面包 v. 烘，烤
toe	 n. 脚趾，足尖
toilet	 n. 厕所，盥洗室，浴室
tolerance	 n. 忍受，容忍；公差
tolerate	 v. 忍受，容忍，宽恕
tone	 n. 音；腔调；声调
torch	 n. 火炬，火把；手电筒
torture	 n. 拷问；折磨 v. 拷打
total	 adj. 总的 v. 合计，总共
touch	 v. 触摸；触动；感动 n. 触
tough	 adj. 坚韧的；健壮的
tour	 n&vi. 旅行，游历
tourist	 n. 旅游者，观光者
towel	 n. 毛巾，手巾
tower	 n. 塔 v. 屹立，高耸
trace	 n. 痕迹；丝毫 v. 跟踪
track	 n. 行踪；路径；轨道
tractor	 n. 拖拉机；牵引车
trade	 n. 贸易；职业 v. 交易
traffic	 n. 交通，通行；交通量
tragedy	 n. 悲剧；惨事，惨案
trail	 n. 痕迹；小径 v. 跟踪
transfer	 v. 转移；调动vi转移
transform	 v. 改变；改造；变换
transformation	 n. 变化；改造；转变
transformer	 n. 变压器，转换器
transistor	 n. 晶体管
transmission	 n. 传送；传动；发射
transmit	 v. 传送，传达；发射
transparent	 adj. 透明的；易识破的
transport	 v. 运输 n. 运输
transportation	 n. 运输，运送，客运
trap	 n. 陷阱；诡计 v. 诱骗
tray	 n. (浅)盘，托盘，碟
treasure	 n. 财富；珍宝 v. 珍视
treat	 v. 对待；处理 n. 款待
treatment	 n. 待遇；治疗，疗法
treaty	 n. 条约；协议，协定
tremble	 v. 发抖，哆嗦；摇动
tremendous	 adj. 极大的，非常的
trend	 v. 伸向；倾向 n. 倾向
trial	 n. 试，试验；审判
triangle	 n. 三角(形)
trick	 n. 诡计；窍门 v. 哄骗
trim	 adj. 整齐的 v. 使整齐
triumph	 n. 凯旋；胜利 v. 成功
troop	 n. 军队；一群，大量
tropical	 adj. 热带的
troublesome	 adj. 令人烦恼的；麻烦的
trumpet	 n. 喇叭，小号
trunk	 n. 树干；大衣箱，皮箱
trust	 n. 信任 v. 相信；委托
truth	 n. 真理；真实；真实性
tube	 n. 管；电子管，显像管
tune	 n. 调子；和谐 v. 调谐
tunnel	 n. 隧道，坑道，地道
turbine	 n. 叶轮机，汽轮机
twin	 adj. 孪生的 n. 孪生儿
twist	 v. 捻；拧 vi&n. 扭弯
type	 n. 型，类型 v. 打字
typewriter	 n. 打字机
typical	 adj. 典型的，代表性的
typist	 n. 打字员
tyre	 n. 轮胎，车胎
ultimate	 adj. 最后的，最终的
unconscious	 adj. 不省人事的
uncover	 v. 揭开…的盖子
undergo	 v. 经历，经受，忍受
undergraduate	 n. 大学在校生
underline	 v. 划线于…之下
underneath	 adv. 在下面，在底下
undertake	 v. 从事；承担；保证
undo	 v. 解开，打开；取消
undoubtedly	 adv. 无容置疑，肯定地
uneasy	 adj. 心神不安的，忧虑的
unexpected	 adj. 想不到的，意外的
uniform	 adj. 一样的 n. 制服
union	 n. 联合；团结；协会
unique	 adj. 唯一的，独一无二的
unit	 n. 单位；单元；部件
unite	 v. 联合 v. 使联合
unity	 n. 单一；统一；团结
universal	 adj. 宇宙的；普遍的
unknown	 adj. 不知道的；未知的
unless	 conj. 除非，如果不
unlike	 adj. 不同的 prep. 不象…
unlikely	 adj. 未必的，未必可能的
unload	 v. 卸(货) v. 卸货
upper	 adj. 上面的；地位较高的
upright	 adj. 垂直的；正直的
upset	 v. 弄翻，打翻，倾覆
upward	 adj. 向上的，上升的
urban	 adj. a. adj. 都市的,住在都市的
urge	 v. 推进；催促 n. 冲动
urgent	 adj. 紧急的；强求的
usage	 n. 使用，对待；惯用法
utility	 n. 效用，有用，实用
utilize	 v. 利用
utmost	 adj. 最远的 n. 极限
utter	 adj. 完全的，彻底的
vacant	 adj. 空的；未被占用的
vacuum	 n. 真空；真空吸尘器
vague	 adj. 模糊的，含糊的
vain	 adj. 徒劳的；自负的
valid	 adj. 有效的；正当的
value	 n. 价值；价格 v. 评价
van	 n. 大篷车，运货车
vanish	 v. 突然不见，消失
vapour	 n. 汽，蒸气
variable	 adj. 易变的 n. 变量
variation	 n. 变化，变动；变异
variety	 n. 多样化；种类；变种
various	 adj. 各种各样的，不同的
vary	 v. 改变；使多样化
vast	 adj. 巨大的；大量的
vehicle	 n. 车辆，机动车
velocity	 n. 速度，速率
venture	 n&vi. 冒险 v. 敢于
verify	 v. 证实，查证；证明
version	 n. 译文；说法；改写本
vertical	 adj. 垂直的，竖式的
vessel	 n. 容器；船，飞船；管
veteran	 n. 老兵，老手
via	 prep. 经过；通过
vibrate	 v. 使颤动 v. 颤动
vice	 n. 罪恶；恶习；缺点
vigorous	 adj. 朝气蓬勃的
vinegar	 n. 醋
violent	 adj. 猛烈的；狂暴的
violet	 n. 紫罗兰
virtually	 adv. 实际上，事实上
virtue	 n. 善；美德；优点
visible	 adj. 可见的，看得见的
vision	 n. 视；想象力；梦幻
visual	 adj. 看的；看得见的
vital	 adj. 生命的；有生命力的
vitamin	 n. 维生素，维他命
vivid	 adj. 鲜艳的；生动的
volcano	 n. 火山
volt	 n. 伏特，伏
voltage	 n. 电压
volume	 n. 卷，册；容积；音量
voluntary	 adj. 自愿的，志愿的
voyage	 n&vi. 航海，航空 n. 字
wage	 v. 开展(运动)
waggon	 n. 四轮运货马车
waken	 v. 醒来 v. 弄醒
wander	 v. 漫游；迷路；离题
want	 n. 需要；缺乏
warmth	 n. 暖和，温暖；热烈
water	 n. 水 v. 使湿，灌溉
waterproof	 adj. 不透水的，防水的
wave	 n. 波；波涛 v. 波动
wax	 n. 蜡，蜂蜡
weaken	 v. 削弱 v. 变弱
weakness	 n. 虚弱，软弱；弱点
wear	 v. 磨损
weave	 v. 织，编 v. 纺织
weed	 n. 杂草，野草 v. 除草
weep	 v. 哭泣，流泪
weld	 vt&n. 焊接，熔接
welfare	 n. 幸福，福利
wheat	 n. 小麦
wheel	 n. 轮，车轮
whilst	 conj&n. 当…的时候
whip	 v. 鞭笞；搅打 n. 鞭子
whisper	 v. 低声地讲 v. 低语
whistle	 n. 口哨 v. 吹口哨
wholly	 adv. 完全地，全部
wicked	 adj. 坏的；令人厌恶的
widen	 v. 加宽 v. 变宽
widow	 n. 寡妇
width	 n. 宽阔，广阔；宽度
willing	 adj. 愿意的，心甘情愿的
wind	 v. 绕，缠绕 v. 卷曲
wing	 n. 翼，翅膀，翅
wire	 n. 金属线；电缆；电信
wit	 n. 智力，才智，智能
withdraw	 v. 收回；撤回vi撤退
withstand	 v. 抵挡，反抗
witness	 n. 证据；证人 v. 目击
wooden	 adj. 木制的；呆板的
wool	 n. 羊毛；毛线，绒线
workman	 n. 工人，劳动者，工匠
workshop	 n. 车间，工场；创作室
worm	 n. 虫，蠕虫
worship	 n. 礼拜；崇拜 v. 崇拜
worst	 adj. 最坏的 adv. 最坏地
worth	 adj. 值…的 n. 价值
worthless	 adj. 无价值的，无用的
worthwhile	 adj. 值得花时间的
worthy	 adj. 有价值的；值得的
wound	 n. 创伤，伤 v. 使受伤
wrap	 v. 裹，包，捆 n. 披肩
wreck	 n. 失事；残骸 v. 破坏
wrist	 n. 腕，腕关节
yard	 n. 院子，庭院；场地
yawn	 v. 打呵欠 n. 呵欠
yearly	 adj. 每年的 adv. 一年一度
yield	 vt&vi. 出产 n. 产量
youth	 n. 青春；青年们；青年
zone	 n. 地区，区域，范围
